date,ppo_price_only,buy_hold_equal,equal_weight_monthly,momentum_20d,xph
2022-01-04,999729.1425100097,994242.5571683424,994242.5571683423,1000000.0,985410.8542378774
2022-01-05,999015.0056378021,998457.3195675104,998457.3195675103,1000000.0,966745.4911943111
2022-01-06,1003704.9311941986,993318.6697516119,993318.6697516117,1000000.0,963312.4862137875
2022-01-07,1000487.7341601867,999963.5757056482,999963.575705648,1000000.0,963956.2179324473
2022-01-10,1008579.789802803,1014385.0752632698,1014385.0752632697,1000000.0,979618.0478965486
2022-01-11,1017276.3478507233,1018978.7989299236,1018978.7989299236,1000000.0,984981.728615312
2022-01-12,1013789.4044750214,1007180.0877936344,1007180.0877936345,1000000.0,965243.5948001436
2022-01-13,1009172.1439634095,1006188.0223466216,1006188.0223466216,1000000.0,945290.854888881
2022-01-14,1003690.7857827606,1010821.465330872,1010821.465330872,1000000.0,947007.0976702729
2022-01-18,1000335.8510297851,1003493.8333613914,1003493.8333613916,1000000.0,927483.4833815757
2022-01-19,992706.5635425949,994366.6778592395,994366.6778592395,1000000.0,926625.0589971982
2022-01-20,984623.283918026,985324.0969202882,985324.0969202882,1000000.0,917614.2000499333
2022-01-21,977316.9023288765,975711.5655137731,975711.5655137731,1000000.0,904097.911629036
2022-01-24,972848.5355110664,969305.6302838529,969305.6302838529,1000000.0,907959.6093840087
2022-01-25,962053.8027030373,975167.0141646017,975167.0141646017,1000000.0,907316.2239438419
2022-01-26,976453.1292158623,971495.7239985275,971495.7239985273,1000000.0,900236.1273044401
2022-01-27,972722.7935756875,982407.9764674623,982407.9764674624,1000000.0,891439.6147443997
2022-01-28,983771.8285285835,998678.2717126699,998678.2717126698,1000000.0,910748.6229370026
2022-01-31,995342.4181635398,994329.8254514877,994329.8254514876,1000000.0,934777.8398385788
2022-02-01,993106.306530735,997789.6115771256,997747.5606713413,1000000.0,944432.5170741268
2022-02-02,992461.8153826676,995101.7336893687,994760.6481348983,1001311.390458244,943359.5731632783
2022-02-03,989146.8880693589,983739.7199938905,983527.5123109182,990422.1717398159,922119.7160931891
2022-02-04,975508.8764227486,980205.7631761334,979784.7822512566,992153.83675115,931345.1811365483
2022-02-07,965566.4662256393,983286.4666658663,982771.8989605751,1007272.4540723374,938854.3168288922
2022-02-08,961115.0998163376,989563.8505030562,988866.6397745236,1008452.648942905,935206.9654611442
2022-02-09,955079.8193455543,990283.5349042268,989579.2830745446,1008103.0903502564,956017.8700479146
2022-02-10,951914.1754704323,974328.9530747238,973276.0368140276,991942.1685401741,950654.5356076444
2022-02-11,940267.1910611,971064.1976646604,969851.8456066079,991606.8717578759,942930.5341103361
2022-02-14,938942.4206829872,964851.3421786763,963418.4736948977,994544.3768934819,932203.345812056
2022-02-15,928401.4178982582,973711.2114016009,972108.3287825672,1007810.1046693216,954730.8394587113
2022-02-16,937050.5769825783,971949.1419075694,970364.675467604,1008669.626179538,955803.2639518202
2022-02-17,936437.8354740944,963187.9471841854,961458.8154360326,1003499.74245179,935421.7446964852
2022-02-18,927179.9557324257,959198.7093915346,957376.5621083406,998539.4475125419,929414.1591198156
2022-02-22,922111.6408825722,956133.1390172059,954193.3304236385,1002435.2444214144,914825.0999273162
2022-02-23,913506.9857045021,956678.2988289695,954595.8376955927,1010134.2507791982,900450.5602612878
2022-02-24,912701.1805325355,940238.4235685066,938163.0471740734,998835.2731994817,913966.9352518085
2022-02-25,893580.1081921806,969306.6817605206,967004.0275930538,1026167.7308690192,940141.6936965887
2022-02-28,924718.0203015556,965343.7139556668,963016.2703433227,1019963.9545276588,928985.2932061199
2022-03-01,918335.9790570488,960442.9734426497,957906.0032726384,1018710.7635039265,926196.2796531259
2022-03-02,912605.8581235161,971274.768951271,969217.4217995611,1028532.1407547313,946577.7989084609
2022-03-03,926411.1850354424,980270.0995832608,978272.092069919,1037826.5286538303,934777.8398385788
2022-03-04,934591.4907300224,984078.8014276153,982200.999146016,1039824.4271957041,931559.6140933961
2022-03-07,941681.5069958916,978362.9629021056,975857.020081617,1036478.48353906,918043.1525332523
2022-03-08,938818.4178387871,964107.3359354223,961700.4374282685,1021181.037294371,913108.8571459241
2022-03-09,925621.6890561333,970629.3616308011,968230.8162206927,1027580.3079499393,940570.7327495308
2022-03-10,931590.1587979546,966684.4220449985,963947.7174284317,1029551.2647274594,941857.9364779807
2022-03-11,929978.8655163994,970949.8454280356,968415.0096351893,1033185.5020280491,937137.9009082539
2022-03-14,934024.7984311333,980740.0913996086,978490.2759035382,1042991.8159851062,905170.5092613916
2022-03-15,947726.3903653374,993331.6696199351,990585.0227605823,1062495.1458298997,917399.5939538389
