candidate,score,mean_sharpe,mean_cumret,mean_mdd,mean_sell_ratio,mean_hold_ratio,mean_buy_ratio,mean_max_action_ratio,params
base_tuned,-2.7222191460504246,-2.3707230537345736,0.28485675114261355,-0.14390609514885733,0.0625,0.5,0.4375,0.5,"{""learning_rate"": 0.00014312907952658717, ""n_steps"": 512, ""batch_size"": 512, ""n_epochs"": 10, ""gamma"": 0.995, ""gae_lambda"": 0.9, ""ent_coef"": 0.001, ""vf_coef"": 0.75, ""clip_range"": 0.3, ""policy_kwargs"": {""features_extractor_class"": ""Phase6MultimodalExtractor"", ""features_extractor_kwargs"": {""price_hidden"": 128, ""sent_hidden"": 64, ""sec_hidden"": 64, ""fusion_dim"": 256, ""num_attention_heads"": 4}, ""net_arch"": {""pi"": [128, 64], ""vf"": [128, 64]}}, ""ent_coef_final"": 0.0}"
no_exploration_late,-2.7222191460504246,-2.3707230537345736,0.28485675114261355,-0.14390609514885733,0.0625,0.5,0.4375,0.5,"{""learning_rate"": 0.00014312907952658717, ""n_steps"": 512, ""batch_size"": 512, ""n_epochs"": 10, ""gamma"": 0.995, ""gae_lambda"": 0.9, ""ent_coef"": 0.001, ""vf_coef"": 0.75, ""clip_range"": 0.3, ""policy_kwargs"": {""features_extractor_class"": ""Phase6MultimodalExtractor"", ""features_extractor_kwargs"": {""price_hidden"": 128, ""sent_hidden"": 64, ""sec_hidden"": 64, ""fusion_dim"": 256, ""num_attention_heads"": 4}, ""net_arch"": {""pi"": [128, 64], ""vf"": [128, 64]}}, ""ent_coef_final"": 0.0}"
low_lr_stable_steps,-4.0663675473249885,-3.5280460928845367,0.16499988787797182,-0.17910643128705128,0.0,0.6976686507936507,0.3023313492063492,0.6976686507936507,"{""learning_rate"": 4.293872385797615e-05, ""n_steps"": 1024, ""batch_size"": 128, ""n_epochs"": 10, ""gamma"": 0.995, ""gae_lambda"": 0.9, ""ent_coef"": 0.001, ""vf_coef"": 0.75, ""clip_range"": 0.3, ""policy_kwargs"": {""features_extractor_class"": ""Phase6MultimodalExtractor"", ""features_extractor_kwargs"": {""price_hidden"": 128, ""sent_hidden"": 64, ""sec_hidden"": 64, ""fusion_dim"": 256, ""num_attention_heads"": 4}, ""net_arch"": {""pi"": [128, 64], ""vf"": [128, 64]}}, ""ent_coef_final"": 0.0}"
lower_lr_small_net,-4.911559434981044,-2.9489310771684503,0.04668493792457379,-0.16327882349727196,0.0,0.9265873015873016,0.0734126984126984,0.9265873015873016,"{""learning_rate"": 7.156453976329359e-05, ""n_steps"": 512, ""batch_size"": 512, ""n_epochs"": 10, ""gamma"": 0.995, ""gae_lambda"": 0.9, ""ent_coef"": 0.001, ""vf_coef"": 0.75, ""clip_range"": 0.3, ""policy_kwargs"": {""features_extractor_class"": ""Phase6MultimodalExtractor"", ""features_extractor_kwargs"": {""price_hidden"": 128, ""sent_hidden"": 64, ""sec_hidden"": 64, ""fusion_dim"": 256, ""num_attention_heads"": 4}, ""net_arch"": {""pi"": [128, 64], ""vf"": [128, 64]}}, ""ent_coef_final"": 0.0}"
