candidate,score,mean_sharpe,mean_cumret,mean_mdd,mean_sell_ratio,mean_hold_ratio,mean_buy_ratio,mean_max_action_ratio,collapse_penalty,buy_penalty,hold_penalty,sharpe_gate_penalty,params
no_exploration_late,-2.772263185561238,-2.2584581240241053,0.17554952707716098,-0.13564676076437193,0.0625,0.44146825396825395,0.49603174603174605,0.621031746031746,0.0,0.0,0.0,0.75,"{""learning_rate"": 0.00014312907952658717, ""n_steps"": 512, ""batch_size"": 512, ""n_epochs"": 10, ""gamma"": 0.995, ""gae_lambda"": 0.9, ""ent_coef"": 0.001, ""vf_coef"": 0.75, ""clip_range"": 0.3, ""policy_kwargs"": {""features_extractor_class"": ""Phase5MultimodalExtractor"", ""features_extractor_kwargs"": {""price_hidden"": 128, ""sent_hidden"": 64, ""fda_hidden"": 64, ""fusion_dim"": 256, ""num_attention_heads"": 4}, ""net_arch"": {""pi"": [128, 64], ""vf"": [128, 64]}}, ""ent_coef_final"": 0.0}"
low_lr_stable_steps,-3.8542736147865564,-3.133305586315763,0.03615394333586086,-0.12599471737292472,0.0,0.75,0.25,0.75,0.0,0.0,0.0,0.75,"{""learning_rate"": 4.293872385797615e-05, ""n_steps"": 1024, ""batch_size"": 128, ""n_epochs"": 10, ""gamma"": 0.995, ""gae_lambda"": 0.9, ""ent_coef"": 0.001, ""vf_coef"": 0.75, ""clip_range"": 0.3, ""policy_kwargs"": {""features_extractor_class"": ""Phase5MultimodalExtractor"", ""features_extractor_kwargs"": {""price_hidden"": 128, ""sent_hidden"": 64, ""fda_hidden"": 64, ""fusion_dim"": 256, ""num_attention_heads"": 4}, ""net_arch"": {""pi"": [128, 64], ""vf"": [128, 64]}}, ""ent_coef_final"": 0.0}"
base_tuned,-4.05352535787809,-3.3681491045147283,0.0642907641855951,-0.15906199820877465,0.125,0.5625,0.3125,0.625,0.0,0.0,0.0,0.75,"{""learning_rate"": 0.00014312907952658717, ""n_steps"": 512, ""batch_size"": 512, ""n_epochs"": 10, ""gamma"": 0.995, ""gae_lambda"": 0.9, ""ent_coef"": 0.001, ""vf_coef"": 0.75, ""clip_range"": 0.3, ""policy_kwargs"": {""features_extractor_class"": ""Phase5MultimodalExtractor"", ""features_extractor_kwargs"": {""price_hidden"": 128, ""sent_hidden"": 64, ""fda_hidden"": 64, ""fusion_dim"": 256, ""num_attention_heads"": 4}, ""net_arch"": {""pi"": [128, 64], ""vf"": [128, 64]}}, ""ent_coef_final"": 0.0001}"
lower_lr_small_net,-4.128351388570389,-3.366628348481368,0.019209242477463362,-0.2026845190260756,0.0,0.6875,0.3125,0.6875,0.0,0.0,0.0,0.75,"{""learning_rate"": 7.156453976329359e-05, ""n_steps"": 512, ""batch_size"": 512, ""n_epochs"": 10, ""gamma"": 0.995, ""gae_lambda"": 0.9, ""ent_coef"": 0.001, ""vf_coef"": 0.75, ""clip_range"": 0.3, ""policy_kwargs"": {""features_extractor_class"": ""Phase5MultimodalExtractor"", ""features_extractor_kwargs"": {""price_hidden"": 128, ""sent_hidden"": 64, ""fda_hidden"": 64, ""fusion_dim"": 256, ""num_attention_heads"": 4}, ""net_arch"": {""pi"": [128, 64], ""vf"": [128, 64]}}, ""ent_coef_final"": 0.0}"
