days_bucket,mean_action,buy_ratio,hold_ratio,sell_ratio,n
event_0_5d,0.9074074074074074,0.09259259259259259,0.7222222222222222,0.18518518518518517,54
near_6_20d,0.9099099099099099,0.08108108108108109,0.7477477477477478,0.17117117117117117,111
far_21_90d,0.7866034380557202,0.07350326022525193,0.6395969176052163,0.2868998221695317,1687
no_event_90p,0.9415584415584416,0.1683673469387755,0.6048237476808905,0.22680890538033396,2156
