date,ticker,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,bb_upper,bb_middle,bb_lower,bb_pct,bb_width,log_return,volume_sma20,volume_ratio,sent_pos,sent_neg,sent_neu,sent_net,n_filings,days_to_event,is_event_window,hist_1d_ret,hist_5d_ret,evt_ADCOM,evt_APPROVAL,evt_CRL,ta_Bone_Disease,ta_Cardiology,ta_Dermatology,ta_Immunology,ta_Infectious_Disease,ta_Neurology,ta_Oncology,ta_Psychiatry,ct_phase2_events_last_5d,ct_phase3_events_last_5d,ct_results_posted_last_5d,ct_terminated_last_20d,ct_events_last_20d,ct_confound_flag_5d
2018-02-20,ABBV,83.5453360943992,86.26347053968966,83.19048842523478,83.7298583984375,8751400,62.59053321061683,2.1493402387344105,2.071429583159175,0.0779106555752355,87.17632778721172,80.43616218566895,73.69599658412618,0.7443334783951489,16.75904324222879,-0.005227733728391,9083340.0,0.9634561736101478,-0.44273818305001283,-0.4401630567492643,0.4457580307390465,0.383491227351393,-0.12673780549554947,90,0,-0.1866666666666666,-0.1933333333333334,0,1,0,0,0,1,0,0,0,0,0,27.0,36.0,0.0,0.0,65.0,1.0
2018-02-20,AMGN,143.43600994078997,144.54967866054758,142.84780387258172,143.506591796875,4078400,53.60574657684548,-0.4946406418127935,-0.9337099177792144,0.4390692759664208,154.8234919103422,143.14706115722657,131.47063040411095,0.5153955710974646,16.313895177059536,-0.003105527516746,4816370.0,0.8467787981405083,-0.44273818305001283,-0.4401630567492643,0.4457580307390465,0.383491227351393,-0.12673780549554947,90,0,0.7300000000000001,0.7150000000000001,0,1,0,1,0,0,0,0,0,0,0,40.0,23.0,9.0,0.0,71.0,1.0
2018-02-20,BIIB,292.0,294.8800048828125,286.510009765625,287.45001220703125,2004500,25.130906032787223,-12.421759403157637,-7.580855046281158,-4.840904356876479,376.03810640577075,329.43199920654297,282.8258920073152,0.0496085221186707,28.294827042595394,-0.0151436700726349,1836300.0,1.0915972335675,-0.44273818305001283,-0.4401630567492643,0.4457580307390465,0.383491227351393,-0.12673780549554947,90,0,0.0,-24.42,1,0,0,0,0,0,0,0,1,0,0,1.0,2.0,0.0,0.0,10.0,1.0
2018-02-20,BMY,51.21947139874819,51.47373952578861,50.13510755679734,50.36693572998047,8703700,65.65720544250144,0.9867644310194592,0.5258487746951755,0.4609156563242836,51.05843179016434,47.85345134735107,44.64847090453781,0.892121641220236,13.394981354842978,-0.0233470342781528,10308195.0,0.8443476282705168,-0.44273818305001283,-0.4401630567492643,0.4457580307390465,0.383491227351393,-0.12673780549554947,55,0,-2.5166666666666666,-8.68,0,1,0,0,0,0,0,0,0,1,0,217.0,77.0,13.0,4.0,357.0,1.0
2018-02-20,GILD,59.0415154570677,60.160370422429295,59.0415154570677,59.578861236572266,7229300,51.331742192960775,0.3573598152826278,0.5506681163863375,-0.1933083011037096,64.21382490136372,60.32231140136719,56.430797901370646,0.4044780180262024,12.902401813165064,0.0029738119217441,10578070.0,0.6834233466029247,-0.44273818305001283,-0.4401630567492643,0.4457580307390465,0.383491227351393,-0.12673780549554947,90,0,0.42,-0.415,0,1,0,0,0,0,1,0,0,0,0,11.0,8.0,0.0,0.0,19.0,1.0
2018-02-20,JNJ,105.70449993840414,106.16591941434316,103.94634497331104,104.1134033203125,6563500,39.22939523984071,-2.4374518347646017,-2.4702486924813467,0.032796857716745,117.34944228149064,107.80911788940428,98.26879349731794,0.3063108539497164,17.698548283964747,-0.0171234063149237,10690355.0,0.6139646438308176,-0.44273818305001283,-0.4401630567492643,0.4457580307390465,0.383491227351393,-0.12673780549554947,90,0,0.3,0.43,0,1,0,0,0,0,0,0,0,0,1,12.0,18.0,0.0,0.0,85.0,1.0
2018-02-20,MRK,41.5195258061495,41.53432324624555,40.65391844737473,40.67611312866211,14113416,37.6240737251535,-0.698588857502628,-0.574175149086111,-0.124413708416517,46.836951931381414,42.76243305206299,38.68791417274456,0.2439795979360055,19.05653438548609,-0.0232719248588906,15045596.35,0.9380429776052048,-0.44273818305001283,-0.4401630567492643,0.4457580307390465,0.383491227351393,-0.12673780549554947,90,0,-0.825,-1.8074999999999997,0,1,0,0,0,0,0,0,0,1,0,244.0,60.0,11.0,3.0,414.0,1.0
2018-02-20,PFE,23.77397961986336,24.084191574760126,23.681576284680755,23.767379760742188,27202370,51.27231267973638,-0.1688401998336957,-0.2326884346777833,0.0638482348440876,25.52387829406252,23.772595405578613,22.021312517094707,0.4985109073837462,14.7336280166779,-0.0068948588420051,33572255.8,0.8102633961224615,-0.44273818305001283,-0.4401630567492643,0.4457580307390465,0.383491227351393,-0.12673780549554947,90,0,-1.73,-5.92,1,0,0,0,1,0,0,0,0,0,0,3.0,11.0,3.0,2.0,39.0,1.0
2018-02-21,ABBV,84.09181027580908,86.08605812290607,83.63760563220004,83.68019104003906,5122500,62.438976375776136,2.214476604044563,2.100038987336253,0.1144376167083103,87.23395561659441,80.8807876586914,74.52761970078839,0.7203155496515204,15.709955705952632,-0.0005931857445893,9084700.0,0.5638601164595418,-0.44273818305001283,-0.4401630567492643,0.4457580307390465,0.383491227351393,-0.12673780549554947,90,0,-0.1866666666666666,-0.1933333333333334,0,1,0,0,0,1,0,0,0,0,0,27.0,36.0,0.0,0.0,65.0,1.0
2018-02-21,AMGN,143.67128225290062,145.48295487051732,143.0516985467648,143.07522583007812,4054600,52.60770941908082,-0.3218801059244356,-0.8113439554082588,0.4894638494838231,154.1426398587903,142.82865982055665,131.514679782323,0.5108965195575847,15.842730797093528,-0.0030058965333623,4844765.0,0.8369033379327996,-0.44273818305001283,-0.4401630567492643,0.4457580307390465,0.383491227351393,-0.12673780549554947,90,0,0.7300000000000001,0.7150000000000001,0,1,0,1,0,0,0,0,0,0,0,40.0,23.0,9.0,0.0,71.0,1.0
2018-02-21,BIIB,287.55999755859375,290.6600036621094,285.1099853515625,286.1000061035156,1922400,24.679171872086823,-13.506959456510742,-8.766075928327076,-4.740883528183666,375.9060112614796,326.3994995117188,276.89298776195795,0.092987952656573,30.33491890999874,-0.0046964899849901,1873110.0,1.0263145250412415,-0.44273818305001283,-0.4401630567492643,0.4457580307390465,0.383491227351393,-0.12673780549554947,90,0,0.0,-24.42,1,0,0,0,0,0,0,0,1,0,0,1.0,2.0,0.0,0.0,10.0,1.0
2018-02-21,BMY,50.359466991453736,50.66608366818727,49.7387650628128,49.753719329833984,7046200,61.14900098389011,0.9902249983299852,0.6187240194221375,0.3715009789078478,51.27170024306061,47.96936683654785,44.66703343003509,0.7701654063407244,13.768509464655727,-0.0121749793045573,10337510.0,0.6816148182686159,-0.44273818305001283,-0.4401630567492643,0.4457580307390465,0.383491227351393,-0.12673780549554947,54,0,-2.5166666666666666,-8.68,0,1,0,0,0,0,0,0,0,1,0,218.0,77.0,13.0,4.0,358.0,1.0
2018-02-21,GILD,59.5494177803907,60.307586216296365,59.10776686408503,59.39484024047851,6956900,50.55166341188103,0.3094503272799898,0.502424558565068,-0.1929742312850781,64.2123814201716,60.31274185180664,56.41310228344168,0.3823094294695315,12.931395418721609,-0.0030886960958023,10565975.0,0.6584248022544062,-0.44273818305001283,-0.4401630567492643,0.4457580307390465,0.383491227351393,-0.12673780549554947,90,0,0.42,-0.415,0,1,0,0,0,0,1,0,0,0,0,11.0,8.0,0.0,0.0,19.0,1.0
2018-02-21,JNJ,104.05772319163648,105.354458704974,103.30990582493038,103.34968566894533,6578000,37.61878777868388,-2.42058151446021,-2.4603152568771196,0.0397337424169097,116.77153694240867,107.33497200012206,97.89840705783544,0.2888380806177625,17.583392936043047,-0.0073354402700442,10145575.0,0.6483614777871141,-0.44273818305001283,-0.4401630567492643,0.4457580307390465,0.383491227351393,-0.12673780549554947,90,0,0.3,0.43,0,1,0,0,0,0,0,0,0,0,1,12.0,18.0,0.0,0.0,85.0,1.0
2018-02-21,MRK,40.71308804264195,41.01642212669644,40.357967376708984,40.357967376708984,11244935,35.85998351226817,-0.7424370307269399,-0.6078275254142769,-0.134609505312663,46.4745145983511,42.49794235229492,38.52137010623874,0.2309271851268028,18.714187209778835,-0.0078214393530375,15021932.5,0.7485678024448585,-0.44273818305001283,-0.4401630567492643,0.4457580307390465,0.383491227351393,-0.12673780549554947,90,0,-0.825,-1.8074999999999997,0,1,0,0,0,0,0,0,0,1,0,245.0,60.0,11.0,3.0,416.0,1.0
2018-02-21,PFE,23.7409761944837,24.150188618758097,23.58256898815831,23.602371215820312,25872327,49.183283148661474,-0.1474697926538901,-0.2156447062730047,0.0681749136191145,25.495693037615276,23.74876766204834,22.00184228648141,0.458098826579665,14.711713891231543,-0.0069426477206556,33939511.55,0.7623069931894763,-0.44273818305001283,-0.4401630567492643,0.4457580307390465,0.383491227351393,-0.12673780549554947,90,0,-1.73,-5.92,1,0,0,0,1,0,0,0,0,0,0,3.0,11.0,3.0,2.0,39.0,1.0
2018-02-22,ABBV,84.14856403011217,84.97181310397075,82.73627202462853,83.43177032470703,5185700,61.63508694736402,2.220456131152318,2.124122416099466,0.096333715052852,87.11621235867128,81.30837783813476,75.50054331759824,0.6828041483502973,14.285943650477211,-0.0029686920195147,9122160.0,0.5684728178413885,-0.44273818305001283,-0.4401630567492643,0.4457580307390465,0.383491227351393,-0.12673780549554947,90,0,-0.1866666666666666,-0.1933333333333334,0,1,0,0,0,1,0,0,0,0,0,27.0,36.0,0.0,0.0,65.0,1.0
