date,ppo_phase5_fda,buy_hold_equal,equal_weight_monthly,momentum_20d,xph
2022-01-04,999590.846155014,994242.5571683424,994242.5571683423,1000000.0,985410.8542378774
2022-01-05,995548.89350782,998457.3195675104,998457.3195675103,1000000.0,966745.4911943111
2022-01-06,1001202.2475134734,993318.6697516119,993318.6697516117,1000000.0,963312.4862137875
2022-01-07,996655.3815766677,999963.5757056482,999963.575705648,1000000.0,963956.2179324473
2022-01-10,1006715.8329867553,1014385.0752632698,1014385.0752632697,1000000.0,979618.0478965486
2022-01-11,1016625.3798889387,1018978.7989299236,1018978.7989299236,1000000.0,984981.728615312
2022-01-12,1016608.2736103056,1007180.0877936344,1007180.0877936345,1000000.0,965243.5948001436
2022-01-13,1012702.5142207565,1006188.0223466216,1006188.0223466216,1000000.0,945290.854888881
2022-01-14,1005521.8127032088,1010821.465330872,1010821.465330872,1000000.0,947007.0976702729
2022-01-18,1005284.1124475326,1003493.8333613914,1003493.8333613916,1000000.0,927483.4833815757
2022-01-19,997017.8683699874,994366.6778592395,994366.6778592395,1000000.0,926625.0589971982
2022-01-20,988278.0121147727,985324.0969202882,985324.0969202882,1000000.0,917614.2000499333
2022-01-21,982646.4642633933,975711.5655137731,975711.5655137731,1000000.0,904097.911629036
2022-01-24,975474.033051174,969305.6302838529,969305.6302838529,1000000.0,907959.6093840087
2022-01-25,963613.2022672804,975167.0141646017,975167.0141646017,1000000.0,907316.2239438419
2022-01-26,975269.4290016174,971495.7239985275,971495.7239985273,1000000.0,900236.1273044401
2022-01-27,972085.0250588263,982407.9764674623,982407.9764674624,1000000.0,891439.6147443997
2022-01-28,982874.1041826705,998678.2717126699,998678.2717126698,1000000.0,910748.6229370026
2022-01-31,996966.3029435157,994329.8254514877,994329.8254514876,1000000.0,934777.8398385788
2022-02-01,990087.9010417365,997789.6115771256,997747.5606713413,1000000.0,944432.5170741268
2022-02-02,991769.7697416915,995101.7336893687,994760.6481348983,1001311.390458244,943359.5731632783
2022-02-03,992075.3101126327,983739.7199938905,983527.5123109182,990422.1717398159,922119.7160931891
2022-02-04,977499.0947538986,980205.7631761334,979784.7822512566,992153.83675115,931345.1811365483
2022-02-07,968398.2432371749,983286.4666658663,982771.8989605751,1007272.4540723374,938854.3168288922
2022-02-08,966854.0717970504,989563.8505030562,988866.6397745236,1008452.648942905,935206.9654611442
2022-02-09,972848.0877730026,990283.5349042268,989579.2830745446,1008103.0903502564,956017.8700479146
2022-02-10,967139.0664106979,974328.9530747238,973276.0368140276,991942.1685401741,950654.5356076444
2022-02-11,950667.5970501327,971064.1976646604,969851.8456066079,991606.8717578759,942930.5341103361
2022-02-14,949583.0560726547,964851.3421786763,963418.4736948977,994544.3768934819,932203.345812056
2022-02-15,938491.5160717391,973711.2114016009,972108.3287825672,1007810.1046693216,954730.8394587113
2022-02-16,944319.8871120834,971949.1419075694,970364.675467604,1008669.626179538,955803.2639518202
2022-02-17,942469.6626934432,963187.9471841854,961458.8154360326,1003499.74245179,935421.7446964852
2022-02-18,933457.1354565048,959198.7093915346,957376.5621083406,998539.4475125419,929414.1591198156
2022-02-22,928340.1395916366,956133.1390172059,954193.3304236385,1002435.2444214144,914825.0999273162
2022-02-23,920444.3133053207,956678.2988289695,954595.8376955927,1010134.2507791982,900450.5602612878
2022-02-24,917938.7988399887,940238.4235685066,938163.0471740734,998835.2731994817,913966.9352518085
2022-02-25,901032.8687573241,969306.6817605206,967004.0275930538,1026167.7308690192,940141.6936965887
2022-02-28,933282.0552464293,965343.7139556668,963016.2703433227,1019963.9545276588,928985.2932061199
2022-03-01,926695.635164337,960442.9734426497,957906.0032726384,1018710.7635039265,926196.2796531259
2022-03-02,918912.4174328612,971274.768951271,969217.4217995611,1028532.1407547313,946577.7989084609
2022-03-03,935652.2003346251,980270.0995832608,978272.092069919,1037826.5286538303,934777.8398385788
2022-03-04,944871.1476155089,984078.8014276153,982200.999146016,1039824.4271957041,931559.6140933961
2022-03-07,951981.6122723387,978362.9629021056,975857.020081617,1036478.48353906,918043.1525332523
2022-03-08,949948.9904652403,964107.3359354223,961700.4374282685,1021181.037294371,913108.8571459241
2022-03-09,936905.3094883726,970629.3616308011,968230.8162206927,1027580.3079499393,940570.7327495308
2022-03-10,944585.6618557738,966684.4220449985,963947.7174284317,1029551.2647274594,941857.9364779807
2022-03-11,941162.349088745,970949.8454280356,968415.0096351893,1033185.5020280491,937137.9009082539
2022-03-14,947987.9701252745,980740.0913996086,978490.2759035382,1042991.8159851062,905170.5092613916
2022-03-15,962348.2173481749,993331.6696199351,990585.0227605823,1062495.1458298997,917399.5939538389
2022-03-16,972421.012785034,995592.2788541466,993438.6876502236,1063730.6934187135,940785.1657063788
2022-03-17,971314.542749481,1010919.469242936,1008983.4728148157,1082978.6131459333,967388.9632041011
2022-03-18,988175.3893948363,1014213.6722311054,1012395.2079238396,1082162.1241350642,978116.3246416277
2022-03-21,988042.2702809141,1014556.5705379401,1012461.1974603223,1081356.1592706675,968875.3636357026
2022-03-22,988423.8892651366,1014024.6855648631,1011854.8120031088,1071200.5659023707,979430.1052444224
2022-03-23,983879.2505131529,1008104.4084615539,1005285.113251804,1060583.476554266,971460.3325866414
2022-03-24,976104.1190624998,1018340.4638960559,1015313.7537113088,1069268.7434101684,979860.9622594535
2022-03-25,983539.5421315001,1023894.9897190531,1020275.1754482071,1077377.1247092912,978999.5079382613
2022-03-28,989939.6137142943,1027480.0106091163,1024105.5047154449,1080908.9367249743,974260.5136210377
2022-03-29,994874.9014607237,1031868.3307971782,1028722.7897109961,1076823.577667505,990846.5608832041
2022-03-30,997288.2608166502,1033430.8776426897,1029294.9363934632,1081992.5459104145,981153.187026053
2022-03-31,999386.7644367979,1026795.2825293371,1022605.0607504947,1071525.5536133114,975122.2276510994
2022-04-01,991473.9085331724,1032751.9091256564,1028087.5677867983,1077800.5268419439,990200.3186454693
2022-04-04,997194.5721760557,1032466.5565937697,1028237.3945543615,1075063.566334007,993431.2701252733
2022-04-05,995843.3903103636,1033256.5391996319,1027887.9180179781,1082567.7224046362,982445.844640769
