candidate,score,mean_sharpe,mean_cumret,mean_mdd,mean_sell_ratio,mean_hold_ratio,mean_buy_ratio,mean_max_action_ratio,collapse_penalty,buy_penalty,hold_penalty,sharpe_gate_penalty,params
base_tuned,-3.404813538438655,-2.821408626569399,0.13373595392618776,-0.17004421379268736,0.0,0.6877480158730158,0.31225198412698413,0.6877480158730158,0.0,0.0,0.0,0.75,"{""learning_rate"": 0.00014312907952658717, ""n_steps"": 512, ""batch_size"": 512, ""n_epochs"": 10, ""gamma"": 0.995, ""gae_lambda"": 0.9, ""ent_coef"": 0.001, ""vf_coef"": 0.75, ""clip_range"": 0.3, ""policy_kwargs"": {""features_extractor_class"": ""Phase4MultimodalExtractor"", ""features_extractor_kwargs"": {""price_hidden"": 128, ""sent_hidden"": 64, ""fusion_dim"": 256, ""num_attention_heads"": 4}, ""net_arch"": {""pi"": [128, 64], ""vf"": [128, 64]}}, ""ent_coef_final"": 0.0001}"
no_exploration_late,-3.404813538438655,-2.821408626569399,0.13373595392618776,-0.17004421379268736,0.0625,0.625,0.3125,0.625,0.0,0.0,0.0,0.75,"{""learning_rate"": 0.00014312907952658717, ""n_steps"": 512, ""batch_size"": 512, ""n_epochs"": 10, ""gamma"": 0.995, ""gae_lambda"": 0.9, ""ent_coef"": 0.001, ""vf_coef"": 0.75, ""clip_range"": 0.3, ""policy_kwargs"": {""features_extractor_class"": ""Phase4MultimodalExtractor"", ""features_extractor_kwargs"": {""price_hidden"": 128, ""sent_hidden"": 64, ""fusion_dim"": 256, ""num_attention_heads"": 4}, ""net_arch"": {""pi"": [128, 64], ""vf"": [128, 64]}}, ""ent_coef_final"": 0.0}"
lower_lr_small_net,-4.232661471793151,-3.819207827765305,0.24075040398147152,-0.12289625000026871,0.125,0.6875,0.1875,0.6875,0.0,0.0,0.0,0.75,"{""learning_rate"": 7.156453976329359e-05, ""n_steps"": 512, ""batch_size"": 512, ""n_epochs"": 10, ""gamma"": 0.995, ""gae_lambda"": 0.9, ""ent_coef"": 0.001, ""vf_coef"": 0.75, ""clip_range"": 0.3, ""policy_kwargs"": {""features_extractor_class"": ""Phase4MultimodalExtractor"", ""features_extractor_kwargs"": {""price_hidden"": 128, ""sent_hidden"": 64, ""fusion_dim"": 256, ""num_attention_heads"": 4}, ""net_arch"": {""pi"": [128, 64], ""vf"": [128, 64]}}, ""ent_coef_final"": 0.0}"
low_lr_stable_steps,-4.27633696924981,-3.5458119221234288,0.043547558854902135,-0.2292319270436693,0.042162698412698416,0.7155257936507937,0.24231150793650794,0.7155257936507937,0.0,0.0,0.0,0.75,"{""learning_rate"": 4.293872385797615e-05, ""n_steps"": 1024, ""batch_size"": 128, ""n_epochs"": 10, ""gamma"": 0.995, ""gae_lambda"": 0.9, ""ent_coef"": 0.001, ""vf_coef"": 0.75, ""clip_range"": 0.3, ""policy_kwargs"": {""features_extractor_class"": ""Phase4MultimodalExtractor"", ""features_extractor_kwargs"": {""price_hidden"": 128, ""sent_hidden"": 64, ""fusion_dim"": 256, ""num_attention_heads"": 4}, ""net_arch"": {""pi"": [128, 64], ""vf"": [128, 64]}}, ""ent_coef_final"": 0.0}"
