nct_id,ticker,brief_title,official_title,lead_sponsor,collaborators,study_type,overall_status,phases,interventions,conditions,start_date,primary_completion_date,completion_date,results_first_posted_date,last_update_posted_date,source
NCT03104413,ABBV,A Study to Assess the Efficacy and Safety of Risankizumab in Participants With Moderately to Severely Active Crohn's Disease Who Failed Prior Biologic Treatment,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Induction Study to Assess the Efficacy and Safety of Risankizumab in Subjects With Moderately to Severely Active Crohn's Disease Who Failed Prior Biologic Treatment",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE3,placebo for risankizumab IV|risankizumab SC|risankizumab IV,Crohn's Disease,2017-12-18,2020-11-30,2021-05-19,2022-06-14,2022-06-14,clinicaltrials.gov_api_v2
NCT03105102,ABBV,A Study of the Efficacy and Safety of Risankizumab in Participants With Crohn's Disease,"A Multicenter, Randomized, Double-Blind, Placebo Controlled 52-Week Maintenance and an Open-Label Extension Study of the Efficacy and Safety of Risankizumab in Subjects With Crohn's Disease",AbbVie,,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,PHASE3,Placebo for Risankizumab SC|Risankizumab IV|Placebo for Risankizumab IV|Risankizumab SC|Risankizumab On-Body Injector (OBI),Crohn's Disease,2018-04-09,2026-05-01,2026-05-01,,2025-08-14,clinicaltrials.gov_api_v2
NCT03105128,ABBV,A Study of the Efficacy and Safety of Risankizumab in Participants With Moderately to Severely Active Crohn's Disease,"A Multicenter, Randomized, Double-Blind, Placebo Controlled Induction Study of the Efficacy and Safety of Risankizumab in Subjects With Moderately to Severely Active Crohn's Disease",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE3,placebo for risankizumab|risankizumab IV|risankizumab SC,Crohn's Disease,2017-05-10,2020-11-09,2021-04-14,2022-07-06,2022-07-06,clinicaltrials.gov_api_v2
NCT03178487,ABBV,A Study Evaluating the Safety and Efficacy of Upadacitinib in Adults With Active Ankylosing Spondylitis,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Study Evaluating the Safety and Efficacy of Upadacitinib in Subjects With Active Ankylosing Spondylitis",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE2,Upadacitinib|Placebo,Ankylosing Spondylitis (AS),2017-10-24,2019-01-21,2022-02-17,2021-06-01,2023-03-07,clinicaltrials.gov_api_v2
NCT03219437,ABBV,A Study Comparing the Safety and Efficacy of Risankizumab to Methotrexate in Subjects With Moderate to Severe Plaque Psoriasis,"A Multicenter, Randomized, Double-Blind, Double-Dummy, Active Controlled Study Comparing the Safety and Efficacy of Risankizumab to Methotrexate in Subjects With Moderate to Severe Plaque Psoriasis",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE3,risankizumab|methotrexate,Psoriasis,2018-07-30,2021-11-26,2021-11-26,,2022-11-03,clinicaltrials.gov_api_v2
NCT03255382,ABBV,A Study to Assess the Efficacy of Risankizumab Compared to FUMADERM® in Subjects With Moderate to Severe Plaque Psoriasis Who Are Naïve to and Candidates for Systemic Therapy,"A Randomized, Controlled, Multicenter, Open Label Study With Blinded Assessment of the Efficacy of the Humanized Anti-IL-23p19 Risankizumab Compared to FUMADERM® in Subjects With Moderate to Severe Plaque Psoriasis Who Are Naïve to and Candidates for Systemic Therapy",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE3,Fumaderm|risankizumab,Psoriasis,2017-08-22,2018-07-06,2018-07-06,2019-09-13,2019-09-13,clinicaltrials.gov_api_v2
NCT03345823,ABBV,A Maintenance and Long-Term Extension Study of the Efficacy and Safety of Upadacitinib (ABT-494) in Participants With Crohn's Disease Who Completed the Studies M14-431 or M14-433,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Maintenance and Long-Term Extension Study of the Efficacy and Safety of Upadacitinib (ABT-494) in Subjects With Crohn's Disease Who Completed the Studies M14-431 or M14-433",AbbVie,,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,PHASE3,Upadacitinib|Placebo for Upadacitinib,Crohn's Disease,2018-03-21,2027-09-01,2027-09-01,,2025-08-05,clinicaltrials.gov_api_v2
NCT03345836,ABBV,A Study of the Efficacy and Safety of Upadacitinib (ABT-494) in Participants With Moderately to Severely Active Crohn's Disease Who Have Inadequately Responded to or Are Intolerant to Biologic Therapy,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Induction Study of the Efficacy and Safety of Upadacitinib (ABT-494) in Subjects With Moderately to Severely Active Crohn's Disease Who Have Inadequately Responded to or Are Intolerant to Biologic Therapy",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE3,Matching Placebo for Upadacitinib|Upadacitinib,Crohn's Disease,2017-11-29,2021-08-11,2021-08-11,2022-08-15,2022-08-15,clinicaltrials.gov_api_v2
NCT03345849,ABBV,A Study of the Efficacy and Safety of Upadacitinib in Participants With Moderately to Severely Active Crohn's Disease Who Have Inadequately Responded to or Are Intolerant to Conventional and/or Biologic Therapies,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Induction Study of the Efficacy and Safety of Upadacitinib (ABT-494) in Subjects With Moderately to Severely Active Crohn's Disease Who Have Inadequately Responded to or Are Intolerant to Conventional and/or Biologic Therapies",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE3,Upadacitinib|Placebo for Upadacitinib,Crohn's Disease,2017-12-07,2021-10-15,2022-01-13,2022-11-23,2022-11-23,clinicaltrials.gov_api_v2
NCT03398135,ABBV,A Study to Assess the Efficacy and Safety of Risankizumab in Participants With Ulcerative Colitis,"A Multicenter, Randomized, Double-Blind, Placebo Controlled 52-Week Maintenance and an Open-Label Extension Study of the Efficacy and Safety of Risankizumab in Subjects With Ulcerative Colitis",AbbVie,,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,PHASE3,risankizumab|placebo for risankizumab,Ulcerative Colitis (UC),2018-08-28,2028-09-01,2029-02-01,,2026-01-20,clinicaltrials.gov_api_v2
NCT03398148,ABBV,"A Multicenter, Randomized, Double-Blind, Placebo Controlled Induction Study to Evaluate the Efficacy and Safety of Risankizumab in Participants With Moderately to Severely Active Ulcerative Colitis","A Multicenter, Randomized, Double-Blind, Placebo Controlled Induction Study to Evaluate the Efficacy and Safety of Risankizumab in Subjects With Moderately to Severely Active Ulcerative Colitis",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE2|PHASE3,risankizumab IV|placebo for risankizumab|risankizumab SC,Ulcerative Colitis (UC),2018-03-07,2022-11-09,2023-05-11,2025-01-16,2025-01-16,clinicaltrials.gov_api_v2
NCT03478787,ABBV,Risankizumab Versus Secukinumab for Participants With Moderate to Severe Plaque Psoriasis,"A Multicenter, Randomized, Open Label, Efficacy Assessor-Blinded Study of Risankizumab Compared to Secukinumab for the Treatment of Adult Subjects With Moderate to Severe Plaque Psoriasis Who Are Candidates for Systemic Therapy",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE3,risankizumab|secukinumab,Psoriasis,2018-05-08,2020-07-08,2020-07-08,2021-07-13,2021-07-13,clinicaltrials.gov_api_v2
NCT03518047,ABBV,Risankizumab Therapy Versus Placebo for Subjects With Psoriasis in the Russian Federation,"Risankizumab Versus Placebo in a Randomized, Double Blind, Parallel Group Trial in Moderate to Severe Plaque Psoriasis to Assess Safety and Efficacy After 16 Weeks of Treatment in the Russian Federation (IMMpress)",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE3,risankizumab|placebo for rizankizumab,Psoriasis,2018-07-19,2020-02-11,2020-02-11,,2021-01-25,clinicaltrials.gov_api_v2
NCT03568318,ABBV,A Study to Evaluate Upadacitinib in Combination With Topical Corticosteroids in Adolescent and Adult Participants With Moderate to Severe Atopic Dermatitis,"A Phase 3 Randomized, Placebo-Controlled, Double-Blind Study to Evaluate Upadacitinib in Combination With Topical Corticosteroids in Adolescent and Adult Subjects With Moderate to Severe Atopic Dermatitis",AbbVie,,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,PHASE3,Placebo|Upadacitinib|Topical corticosteroids (TCS),Atopic Dermatitis,2018-08-09,2021-02-16,2030-10-23,2022-03-31,2025-12-23,clinicaltrials.gov_api_v2
NCT03569293,ABBV,Evaluation of Upadacitinib in Adolescent and Adult Patients With Moderate to Severe Atopic Dermatitis (Eczema),"A Phase 3 Randomized, Placebo-Controlled, Double-Blind Study to Evaluate Upadacitinib in Adolescent and Adult Subjects With Moderate to Severe Atopic Dermatitis",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE3,Placebo for Upadacitinib|Upadacitinib,Atopic Dermatitis,2018-08-13,2021-01-06,2025-10-10,2022-02-03,2025-10-24,clinicaltrials.gov_api_v2
NCT03607422,ABBV,A Study to Evaluate Upadacitinib in Adolescents and Adults With Moderate to Severe Atopic Dermatitis (Measure Up 2),"A Phase 3 Randomized, Placebo-Controlled, Double-Blind Study to Evaluate Upadacitinib in Adolescent and Adult Subjects With Moderate to Severe Atopic Dermatitis",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE3,Placebo for Upadacitinib|Upadacitinib,Atopic Dermatitis,2018-07-27,2021-03-11,2025-11-11,2022-03-28,2025-12-03,clinicaltrials.gov_api_v2
NCT03646604,ABBV,"A Study to Evaluate the Pharmacokinetics, Safety and Tolerability of Upadacitinib in Pediatric Participants With Severe Atopic Dermatitis","An Open-label Multiple Dose Study to Evaluate the Pharmacokinetics, Safety and Tolerability of Upadacitinib in Pediatric Subjects With Severe Atopic Dermatitis",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE1,Upadacitinib (ABT-494),Atopic Dermatitis,2019-01-31,2024-08-29,2024-08-29,,2025-02-10,clinicaltrials.gov_api_v2
NCT03653026,ABBV,A Study of the Efficacy and Safety of Upadacitinib (ABT-494) in Participants With Moderately to Severely Active Ulcerative Colitis,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Induction Study to Evaluate the Efficacy and Safety of Upadacitinib (ABT-494) in Subjects With Moderately to Severely Active Ulcerative Colitis",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE3,Placebo|Upadacitinib,Ulcerative Colitis (UC),2018-12-06,2021-01-14,2021-01-14,2021-11-26,2022-03-02,clinicaltrials.gov_api_v2
NCT03661138,ABBV,A Study to Evaluate Safety of Upadacitinib in Combination With Topical Corticosteroids in Adolescent and Adult Participants With Moderate to Severe Atopic Dermatitis,"A Phase 3 Randomized, Multicenter, Double-Blind Study to Evaluate the Safety of Upadacitinib in Combination With Topical Corticosteroids in Adolescent and Adult Subjects in Japan With Moderate to Severe Atopic Dermatitis",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE3,Upadacitinib|Placebo for upadacitinib|Topical Corticosteroids (TCS),Atopic Dermatitis,2018-10-27,2022-08-19,2022-08-19,,2023-03-01,clinicaltrials.gov_api_v2
NCT03671148,ABBV,A Study Comparing Risankizumab to Placebo in Participants With Active Psoriatic Arthritis Including Those Who Have a History of Inadequate Response or Intolerance to Biologic Therapy(Ies),"A Phase 3, Randomized, Double-Blind Study Comparing Risankizumab to Placebo in Subjects With Active Psoriatic Arthritis Including Those Who Have a History of Inadequate Response or Intolerance to Biologic Therapy(Ies) (KEEPsAKE 2)",AbbVie,,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,PHASE3,Placebo|Risankizumab,Psoriatic Arthritis (PsA),2019-03-07,2020-06-22,2026-06-01,2022-03-02,2025-08-29,clinicaltrials.gov_api_v2
NCT03675308,ABBV,A Study Comparing Risankizumab to Placebo in Participants With Active Psoriatic Arthritis (PsA) Who Have a History of Inadequate Response to or Intolerance to at Least One Disease Modifying Anti-Rheumatic Drug (DMARD) Therapy,"A Phase 3, Randomized, Double-Blind, Study Comparing Risankizumab to Placebo in Subjects With Active Psoriatic Arthritis (PsA) Who Have a History of Inadequate Response to or Intolerance to at Least One Disease Modifying Anti-Rheumatic Drug (DMARD) Therapy (KEEPsAKE 1)",AbbVie,,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,PHASE3,Placebo|Risankizumab,Psoriatic Arthritis,2019-03-25,2020-10-08,2026-09-28,2022-02-24,2025-08-05,clinicaltrials.gov_api_v2
NCT03682705,ABBV,A Study to Investigate the Safety and Efficacy of ABBV-105 Alone or in Combination With Upadacitinib (ABBV-599 Combination) in Participants With Active Rheumatoid Arthritis,Rheumatoid Arthritis: A Phase 2 Study to Investigate the Safety and Efficacy of ABBV-105 Given Alone or in Combination With Upadacitinib (ABBV-599 Combination) With a Background of Conventional Synthetic DMARDs in Subjects With Active Rheumatoid Arthritis With Inadequate Response or Intolerance to Biologic DMARDs,AbbVie,,INTERVENTIONAL,COMPLETED,PHASE2,Elsubrutinib|Upadacitinib|Placebo for elsubrutinib|Placebo for upadacitinib,Rheumatoid Arthritis (RA),2018-10-08,2020-03-26,2020-03-26,2021-05-03,2021-05-03,clinicaltrials.gov_api_v2
NCT03706040,ABBV,A Study to Evaluate Risankizumab in Adults and Adolescents With Moderate to Severe Atopic Dermatitis,"A Phase 2, Multicenter, Randomized, Placebo-Controlled, Double-Blind Study to Evaluate Risankizumab in Adult and Adolescent Subjects With Moderate to Severe Atopic Dermatitis",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE2,Placebo|Risankizumab,Dermatitis,2018-12-27,2020-10-28,2021-04-26,2021-11-18,2021-11-18,clinicaltrials.gov_api_v2
NCT03725007,ABBV,"A Study to Evaluate the Pharmacokinetics, Safety, and Tolerability of Upadacitinib in Pediatric Subjects With Polyarticular Course Juvenile Idiopathic Arthritis","An Open-Label Multiple-Dose Study to Evaluate the Pharmacokinetics, Safety, and Tolerability of Upadacitinib in Pediatric Subjects With Polyarticular Course Juvenile Idiopathic Arthritis",AbbVie,,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,PHASE1,Upadacitinib,Juvenile Idiopathic Arthritis (JIA),2019-06-24,2027-05-01,2027-05-01,,2025-08-05,clinicaltrials.gov_api_v2
NCT03725202,ABBV,A Study to Evaluate the Safety and Efficacy of Upadacitinib in Participants With Giant Cell Arteritis,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety and Efficacy of Upadacitinib in Subjects With Giant Cell Arteritis: SELECT-GCA",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE3,Upadacitinib|Corticosteroid (CS)|Placebo,Giant Cell Arteritis (GCA),2019-01-24,2024-02-06,2025-03-11,2025-03-07,2026-02-24,clinicaltrials.gov_api_v2
NCT03738397,ABBV,A Study to Compare Safety and Efficacy of Upadacitinib to Dupilumab in Adult Participants With Moderate to Severe Atopic Dermatitis,"A Phase 3b Multicenter, Randomized, Double-Blind, Double-Dummy, Active Controlled Study Comparing the Safety and Efficacy of Upadacitinib to Dupilumab in Adult Subjects With Moderate to Severe Atopic Dermatitis",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE3,Upadacitinib|Dupilumab|Placebo to dupilumab|Placebo to upadacitinib,Atopic Dermatitis,2019-02-21,2020-08-27,2020-12-09,2022-02-02,2024-03-15,clinicaltrials.gov_api_v2
NCT03823378,ABBV,A Study in Rheumatoid Arthritis Patients Who Have Completed a Preceding Study With ABBV-105 Given Alone or in Combination With Upadacitinib,"A Phase 2, Multicenter, Double-Blind, Parallel Group Long Term Extension Study in Rheumatoid Arthritis Subjects Who Have Completed a Preceding Phase 2 Randomized Controlled Trial With ABBV-105 Given Alone or in Combination With Upadacitinib (ABBV-599)",AbbVie,,INTERVENTIONAL,TERMINATED,PHASE2,Elsubrutinib|Upadacitinib|Placebo for elsubrutinib|Placebo for upadacitinib,Rheumatoid Arthritis (RA),2019-05-13,2020-09-09,2020-09-09,2021-09-16,2021-09-16,clinicaltrials.gov_api_v2
NCT03875482,ABBV,A Study to Assess Safety and Efficacy of Risankizumab Using a New Formulation in Participants With Moderate to Severe Plaque Psoriasis,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Assess the Safety and Efficacy of Risankizumab Using a New Formulation for the Treatment of Adult Subjects With Moderate to Severe Plaque Psoriasis",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE3,Risankizumab|Placebo solution for risankizumab,Psoriasis,2019-05-13,2020-02-20,2020-07-15,2021-03-16,2021-03-16,clinicaltrials.gov_api_v2
NCT03875508,ABBV,A Study to Assess Usability of Risankizumab Autoinjector Combination Product in Participants With Moderate to Severe Plaque Psoriasis,Plaque Psoriasis: Usability of the Risankizumab Autoinjector Combination Product in Adults With Moderate to Severe Psoriasis,AbbVie,,INTERVENTIONAL,COMPLETED,PHASE3,Risankizumab|Autoinjector,Psoriasis,2019-06-04,2020-04-24,2020-08-25,2021-05-11,2021-05-11,clinicaltrials.gov_api_v2
NCT03926169,ABBV,A Global Study Comparing Risankizumab to Placebo in Adult Participants With Moderate to Severe Hidradenitis Suppurativa,"A Phase 2, Multicenter, Randomized, Placebo-Controlled, Double-Blind Study to Evaluate the Safety and Efficacy of Risankizumab in Adult Subjects With Moderate to Severe Hidradenitis Suppurativa",AbbVie,,INTERVENTIONAL,COMPLETED,PHASE2,Risankizumab|Placebo for risankizumab,Hidradenitis Suppurativa,2019-06-03,2021-02-02,2021-08-02,2022-08-11,2022-08-11,clinicaltrials.gov_api_v2
