ticker,nct_id,trial_phase,study_status,lead_sponsor,interventions,source,date,event_type,event_date_source_col,is_inferred_status_date
MRK,NCT03380871,PHASE1,COMPLETED,BioNTech US Inc.,NEO-PV-01|Pembrolizumab|Adjuvant|Carboplatin|Pemetrexed,clinicaltrials.gov_api_v2,2018-05-04,TRIAL_START,start_date,0
BMY,NCT03316274,EARLY_PHASE1,COMPLETED,"University of California, San Francisco",Nivolumab,clinicaltrials.gov_api_v2,2018-05-07,TRIAL_START,start_date,0
BMY,NCT03335540,PHASE1,COMPLETED,Bristol-Myers Squibb,Nivolumab|Relatlimab|Cabiralizumab|Ipilimumab|IDO1 Inhibitor|Radiation Therapy,clinicaltrials.gov_api_v2,2018-05-07,TRIAL_START,start_date,0
ABBV,NCT03478787,PHASE3,COMPLETED,AbbVie,risankizumab|secukinumab,clinicaltrials.gov_api_v2,2018-05-08,TRIAL_START,start_date,0
MRK,NCT02636725,PHASE2,COMPLETED,"Jonathan Trent, MD, PhD",Axitinib|Pembrolizumab,clinicaltrials.gov_api_v2,2018-05-08,PRIMARY_COMPLETION,primary_completion_date,0
BMY,NCT03451331,PHASE2,COMPLETED,Matthew Galsky,Nivolumab|Gemcitabine|Carboplatin|Oxaliplatin,clinicaltrials.gov_api_v2,2018-05-10,TRIAL_START,start_date,0
BMY,NCT03299946,PHASE1,COMPLETED,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Cabozantinib|Nivolumab,clinicaltrials.gov_api_v2,2018-05-14,TRIAL_START,start_date,0
BMY,NCT03305445,PHASE1,COMPLETED,Icahn School of Medicine at Mount Sinai,Ipilimumab|Nivolumab,clinicaltrials.gov_api_v2,2018-05-14,TRIAL_START,start_date,0
BMY,NCT03522246,PHASE3,ACTIVE_NOT_RECRUITING,pharmaand GmbH,Rucaparib|Nivolumab|Placebo Oral Tablet|Placebo IV Infusion,clinicaltrials.gov_api_v2,2018-05-14,TRIAL_START,start_date,0
MRK,NCT02657889,PHASE1|PHASE2,COMPLETED,"Tesaro, Inc.",niraparib|pembrolizumab,clinicaltrials.gov_api_v2,2018-05-14,PRIMARY_COMPLETION,primary_completion_date,0
BMY,NCT03106610,PHASE1,TERMINATED,M.D. Anderson Cancer Center,Nivolumab|Questionnaires,clinicaltrials.gov_api_v2,2018-05-16,PRIMARY_COMPLETION,primary_completion_date,0
BMY,NCT03106610,PHASE1,TERMINATED,M.D. Anderson Cancer Center,Nivolumab|Questionnaires,clinicaltrials.gov_api_v2,2018-05-16,STUDY_COMPLETION,completion_date,0
MRK,NCT03504982,PHASE1,COMPLETED,Bayer,Vericiguat (BAY1021189)|Moxifloxacin|Placebo,clinicaltrials.gov_api_v2,2018-05-17,TRIAL_START,start_date,0
BMY,NCT03487666,PHASE2,COMPLETED,Georgetown University,Nivolumab|Capecitabine,clinicaltrials.gov_api_v2,2018-05-21,TRIAL_START,start_date,0
BMY,NCT03348904,PHASE3,TERMINATED,Incyte Corporation,Nivolumab|Epacadostat|Placebo|Carboplatin|Cisplatin|Gemcitabine|Paclitaxel|Pemetrexed,clinicaltrials.gov_api_v2,2018-05-22,PRIMARY_COMPLETION,primary_completion_date,0
BMY,NCT03348904,PHASE3,TERMINATED,Incyte Corporation,Nivolumab|Epacadostat|Placebo|Carboplatin|Cisplatin|Gemcitabine|Paclitaxel|Pemetrexed,clinicaltrials.gov_api_v2,2018-05-22,STUDY_COMPLETION,completion_date,0
AMGN,NCT03298412,PHASE2,TERMINATED,Amgen,Blinatumomab,clinicaltrials.gov_api_v2,2018-05-23,TRIAL_START,start_date,0
BMY,NCT03023527,PHASE1,TERMINATED,PETHEMA Foundation,Nivolumab|Pomalidomide|Dexamethasone|Elotuzumab,clinicaltrials.gov_api_v2,2018-05-23,STATUS_TERMINATED,last_update_posted_date,1
BMY,NCT03436862,PHASE2,COMPLETED,"SCRI Development Innovations, LLC",Nivolumab,clinicaltrials.gov_api_v2,2018-05-23,TRIAL_START,start_date,0
BMY,NCT03106610,PHASE1,TERMINATED,M.D. Anderson Cancer Center,Nivolumab|Questionnaires,clinicaltrials.gov_api_v2,2018-05-24,STATUS_TERMINATED,last_update_posted_date,1
BMY,NCT03417037,PHASE3,WITHDRAWN,Bristol-Myers Squibb,BMS-986205|Nivolumab|Chemotherapy,clinicaltrials.gov_api_v2,2018-05-24,TRIAL_START,start_date,0
JNJ,NCT03434041,PHASE3,COMPLETED,"Janssen Research & Development, LLC",Esketamine 56 mg|Esketamine 84 mg|Placebo|Duloxetine (Oral Antidepressant)|Escitalopram (Oral Antidepressant)|Sertraline (Oral Antidepressant)|Venlafaxine Extended Release (XR) (Oral Antidepressant),clinicaltrials.gov_api_v2,2018-05-25,TRIAL_START,start_date,0
MRK,NCT03196232,PHASE2,COMPLETED,George Albert Fisher,Epacadostat|Pembrolizumab,clinicaltrials.gov_api_v2,2018-05-29,PRIMARY_COMPLETION,primary_completion_date,0
MRK,NCT03196232,PHASE2,COMPLETED,George Albert Fisher,Epacadostat|Pembrolizumab,clinicaltrials.gov_api_v2,2018-05-29,STUDY_COMPLETION,completion_date,0
MRK,NCT03267888,PHASE1|PHASE2,COMPLETED,Emory University,Pembrolizumab|Radiation Therapy,clinicaltrials.gov_api_v2,2018-05-29,TRIAL_START,start_date,0
BMY,NCT03459222,PHASE1|PHASE2,COMPLETED,Bristol-Myers Squibb,Relatlimab|Nivolumab|BMS-986205|Ipilimumab,clinicaltrials.gov_api_v2,2018-05-30,TRIAL_START,start_date,0
MRK,NCT02622074,PHASE1,COMPLETED,Merck Sharp & Dohme LLC,Pembrolizumab|Nab-paclitaxel|Anthracycline (doxorubicin)|Cyclophosphamide|Carboplatin|Paclitaxel,clinicaltrials.gov_api_v2,2018-05-31,PRIMARY_COMPLETION,primary_completion_date,0
BMY,NCT03013335,PHASE2,COMPLETED,UNICANCER,Nivolumab,clinicaltrials.gov_api_v2,2018-06-01,PRIMARY_COMPLETION,primary_completion_date,0
BMY,NCT03040791,PHASE2,UNKNOWN,Hospital Moinhos de Vento,Nivolumab,clinicaltrials.gov_api_v2,2018-06-01,TRIAL_START,start_date,0
MRK,NCT02492568,PHASE2,COMPLETED,The Netherlands Cancer Institute,pembrolizumab|Stereotactic Body Radiation Therapy,clinicaltrials.gov_api_v2,2018-06-01,PRIMARY_COMPLETION,primary_completion_date,0
MRK,NCT02586610,PHASE2,WITHDRAWN,"Osama Rahma, MD",Pembrolizumab|Capecitabine|Radiation Therapy,clinicaltrials.gov_api_v2,2018-06-01,PRIMARY_COMPLETION,primary_completion_date,0
MRK,NCT02625337,PHASE2,UNKNOWN,The Netherlands Cancer Institute,Pembrolizumab|Dabrafenib|Trametinib|Biopsy|Blood taking,clinicaltrials.gov_api_v2,2018-06-01,PRIMARY_COMPLETION,primary_completion_date,0
MRK,NCT02448303,PHASE2,COMPLETED,Acerta Pharma BV,Pembrolizumab|Acalabrutinib,clinicaltrials.gov_api_v2,2018-06-01,STUDY_COMPLETION,completion_date,0
MRK,NCT02492568,PHASE2,COMPLETED,The Netherlands Cancer Institute,pembrolizumab|Stereotactic Body Radiation Therapy,clinicaltrials.gov_api_v2,2018-06-01,STUDY_COMPLETION,completion_date,0
MRK,NCT03241927,PHASE2,TERMINATED,Nina Bhardwaj,Pembrolizumab,clinicaltrials.gov_api_v2,2018-06-06,PRIMARY_COMPLETION,primary_completion_date,0
MRK,NCT03241927,PHASE2,TERMINATED,Nina Bhardwaj,Pembrolizumab,clinicaltrials.gov_api_v2,2018-06-06,STUDY_COMPLETION,completion_date,0
BMY,NCT03590210,PHASE2,COMPLETED,University Medicine Greifswald,Trabectedin|Nivolumab,clinicaltrials.gov_api_v2,2018-06-08,TRIAL_START,start_date,0
