days_bucket,mean_action,buy_ratio,hold_ratio,sell_ratio,n
event_0_5d,1.3703703703703705,0.46296296296296297,0.4444444444444444,0.09259259259259259,54
near_6_20d,1.4324324324324325,0.5135135135135135,0.40540540540540543,0.08108108108108109,111
far_21_90d,1.3017190278601067,0.36158861885002963,0.5785417901600475,0.05986959098992294,1687
no_event_90p,1.1971243042671613,0.3761595547309833,0.4448051948051948,0.1790352504638219,2156
