Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Mid,BB_Lower,Ticker
2018-01-02,23.830413818359375,23.882730658041595,23.699620404462166,23.79117553125188,17059833,,,,,,,,PFE
2018-01-03,24.006990432739258,24.04622609967638,23.6930866915548,23.836958691809357,14183151,,,,,,,,PFE
2018-01-04,24.059301376342773,24.144314596546675,23.935047240070485,24.006984537223726,13046517,,,,,,,,PFE
2018-01-05,24.105083465576172,24.118162020465938,23.94159101191899,24.078923726412864,13167517,,,,,,,,PFE
2018-01-08,23.836959838867188,24.065847720601006,23.758485871832775,24.013530866116714,19964341,,,,,,,,PFE
2018-01-09,23.810794830322266,23.961206065759132,23.778095821094013,23.830412658229307,16876226,,,,,,,,PFE
2018-01-10,23.850032806396484,23.941587937636022,23.745399121946566,23.765016951762135,18755825,,,,,,,,PFE
2018-01-11,23.908891677856445,24.000444180184484,23.817336546144954,23.96120852035109,15102555,,,,,,,,PFE
2018-01-12,23.89581298828125,24.065844716166094,23.84349614032831,23.954671742939063,20240700,,,,,,,,PFE
2018-01-16,23.93505859375,24.183564354790878,23.85004270383523,23.915440755793295,30536699,,,,,,,,PFE
2018-01-17,24.314350128173828,24.43860165464749,24.046223984716026,24.07892300033821,25332363,,,,,,,,PFE
2018-01-18,24.190093994140625,24.307808863123995,24.000444451931426,24.307808863123995,19946528,,,,,,,,PFE
2018-01-19,24.15739631652832,24.379742230391745,23.86965238027173,24.320886113744564,31133684,,,,,,,,PFE
2018-01-22,24.15085792541504,24.24241042723132,24.02006450521781,24.12469818962222,21380495,62.63320426718252,,,,,,,PFE
2018-01-23,24.078914642333984,24.248946309289426,23.895804425422824,24.078914642333984,18527212,57.20582967624647,,,,,,,PFE
2018-01-24,24.15085792541504,24.24241042723132,24.02006450521781,24.190093585029114,18673191,60.858475681273625,,,,,,,PFE
2018-01-25,24.347049713134766,24.418984393925285,24.131240411995694,24.177017983183756,18988232,68.70349576075563,,,,,,,PFE
2018-01-26,25.511112213134766,25.563429078165274,24.39283232097313,24.39283232097313,51441419,86.27748216868292,,,,,,,PFE
2018-01-29,25.51763916015625,25.785762635182987,25.35414673523875,25.504560607565512,36779014,86.32385425635941,,,,,,,PFE
2018-01-30,24.719804763793945,25.341070244382966,24.425521530259704,24.98793089001858,48483684,59.74603748354403,,,,25.18118500316624,24.218870830535888,23.256556657905534,PFE
2018-01-31,24.222797393798828,24.84406297602364,24.085464669805894,24.79828540135933,35859926,49.51811670034953,,,,25.184181413340106,24.23849000930786,23.292798605275614,PFE
2018-02-01,24.308591842651367,24.684804956496656,24.163387013951652,24.163387013951652,29697926,51.07511836024609,,,,25.193616376627837,24.253570079803467,23.313523782979097,PFE
2018-02-02,24.163389205932617,24.585804015126364,24.097387970079087,24.15678934772154,25588907,48.35673623619247,,,,25.19560804753014,24.25877447128296,23.321940895035777,PFE
2018-02-05,22.882951736450195,24.222794839777993,22.440737274921425,24.077592626135196,42463657,32.12132904942621,,,,25.309681618752744,24.19766788482666,23.085654150900577,PFE
2018-02-06,23.285564422607422,23.417569571448066,22.44073730826237,22.5463403658376,56035067,39.05062663838868,,,,25.342232347650754,24.170098114013673,22.99796388037659,PFE
2018-02-07,23.087553024291992,23.529767390671886,23.080953166341306,23.1865562010376,30955980,37.04752712108615,-0.11948748628638484,,,25.38981375617098,24.13393602371216,22.87805829125334,PFE
2018-02-08,22.19652557373047,23.212959478942192,22.176724671989987,23.100756580531783,45850792,29.671811592129956,-0.24621002857057306,,,25.56271018494766,24.051260662078857,22.53981113921005,PFE
2018-02-09,22.546337127685547,22.724543920338824,21.912716219492914,22.566139356726374,49851776,35.131948537991136,-0.3147830641920173,,,25.630803804161353,23.983132934570314,22.335462064979275,PFE
2018-02-12,22.876352310180664,23.014957320820034,22.460539932005812,22.737747299541294,38743670,39.87455270994351,-0.33859510815004157,,,25.649103117331997,23.932159900665283,22.21521668399857,PFE
2018-02-13,23.061155319213867,23.120556698960435,22.71134424543648,22.816947288039895,21559570,42.413571821676186,-0.3386505138563862,,,25.646868858755457,23.888464736938477,22.130060615121497,PFE
2018-02-14,23.226165771484375,23.325168981345907,22.81035335156335,22.902754047523057,24494749,44.66070280958353,-0.321671430808653,,,25.603687094974045,23.834055519104005,22.064423943233965,PFE
2018-02-15,23.569372177124023,23.58257189469711,23.153557189884896,23.344966363409586,22588379,49.108849768609154,-0.2773246703548864,,,25.568352749113043,23.803019428253172,22.037686107393302,PFE
2018-02-16,23.932390213012695,24.196397883632475,23.549577100306397,23.602378634430355,27659595,53.37757181986675,-0.21046095864238623,,,25.550781977059163,23.791769123077394,22.032756269095625,PFE
2018-02-20,23.767375946044922,24.084187709214127,23.681572483755065,23.773975804106804,27202370,51.27226177848208,-0.16883997550731422,-0.2326880489671968,0.06384807345988258,25.52387618029494,23.772595024108888,22.021313867922835,PFE
