date,ticker,sentiment_pos,sentiment_neg,sentiment_neu,n_filings,net_sentiment
2018-02-01,AMGN,0.01972474716603756,0.03436412289738655,0.9459110498428345,1,-0.014639375731348991
2018-02-05,AMGN,0.019277554005384445,0.036260902881622314,0.9444615244865417,1,-0.01698334887623787
2018-04-24,AMGN,0.01836457848548889,0.037902235984802246,0.943733274936676,1,-0.019537657499313354
2018-05-22,AMGN,0.019468987360596657,0.03300577029585838,0.9475252628326416,1,-0.013536782935261726
2018-07-26,AMGN,0.019530472345650196,0.03614772856235504,0.9443218111991882,2,-0.016617256216704845
2018-10-30,AMGN,0.020382283255457878,0.0330127514898777,0.9466049671173096,1,-0.012630468234419823
2019-01-29,AMGN,0.020579585805535316,0.03192305192351341,0.9474973678588867,1,-0.011343466117978096
2019-04-30,AMGN,0.019845282658934593,0.03406328707933426,0.9460914731025696,1,-0.014218004420399666
2019-05-21,AMGN,0.019803021103143692,0.03771540895104408,0.9424815773963928,1,-0.01791238784790039
2019-07-30,AMGN,0.021833086386322975,0.027100829407572746,0.9510660767555237,1,-0.005267743021249771
