date,ticker,sentiment_pos,sentiment_neg,sentiment_neu,n_filings,net_sentiment
2018-02-20,PFE,0.0,0.0,1.0,0,0.0
2018-02-21,PFE,0.0,0.0,1.0,0,0.0
2018-02-22,PFE,0.0,0.0,1.0,0,0.0
2018-02-23,PFE,0.018636327236890793,0.04348697513341904,0.9378766417503357,1,-0.024850647896528244
2018-02-26,PFE,0.018636327236890793,0.04348697513341904,0.9378766417503357,0,-0.024850647896528244
2018-02-27,PFE,0.0,0.0,1.0,0,0.0
2018-02-28,PFE,0.0,0.0,1.0,0,0.0
2018-03-01,PFE,0.0,0.0,1.0,0,0.0
2018-03-02,PFE,0.0,0.0,1.0,0,0.0
2018-03-05,PFE,0.0,0.0,1.0,0,0.0
2018-03-06,PFE,0.01918601617217064,0.04169997200369835,0.9391139149665833,1,-0.02251395583152771
2018-03-07,PFE,0.01918601617217064,0.04169997200369835,0.9391139149665833,0,-0.02251395583152771
2018-03-08,PFE,0.0,0.0,1.0,0,0.0
2018-03-09,PFE,0.0,0.0,1.0,0,0.0
2018-03-12,PFE,0.0,0.0,1.0,0,0.0
2018-03-13,PFE,0.0,0.0,1.0,0,0.0
2018-03-14,PFE,0.0,0.0,1.0,0,0.0
2018-03-15,PFE,0.0,0.0,1.0,0,0.0
2018-03-16,PFE,0.0,0.0,1.0,0,0.0
2018-03-19,PFE,0.0,0.0,1.0,0,0.0
2018-03-20,PFE,0.0,0.0,1.0,0,0.0
2018-03-21,PFE,0.0,0.0,1.0,0,0.0
2018-03-22,PFE,0.0,0.0,1.0,0,0.0
2018-03-23,PFE,0.0,0.0,1.0,0,0.0
2018-03-26,PFE,0.0,0.0,1.0,0,0.0
2018-03-27,PFE,0.0,0.0,1.0,0,0.0
2018-03-28,PFE,0.0,0.0,1.0,0,0.0
2018-03-29,PFE,0.0,0.0,1.0,0,0.0
2018-04-02,PFE,0.0,0.0,1.0,0,0.0
2018-04-03,PFE,0.0,0.0,1.0,0,0.0
2018-04-04,PFE,0.0,0.0,1.0,0,0.0
2018-04-05,PFE,0.0,0.0,1.0,0,0.0
2018-04-06,PFE,0.0,0.0,1.0,0,0.0
2018-04-09,PFE,0.0,0.0,1.0,0,0.0
2018-04-10,PFE,0.0,0.0,1.0,0,0.0
2018-04-11,PFE,0.0,0.0,1.0,0,0.0
2018-04-12,PFE,0.0,0.0,1.0,0,0.0
2018-04-13,PFE,0.0,0.0,1.0,0,0.0
2018-04-16,PFE,0.0,0.0,1.0,0,0.0
2018-04-17,PFE,0.0,0.0,1.0,0,0.0
2018-04-18,PFE,0.0,0.0,1.0,0,0.0
2018-04-19,PFE,0.0,0.0,1.0,0,0.0
2018-04-20,PFE,0.0,0.0,1.0,0,0.0
2018-04-23,PFE,0.0,0.0,1.0,0,0.0
2018-04-24,PFE,0.0,0.0,1.0,0,0.0
2018-04-25,PFE,0.0,0.0,1.0,0,0.0
2018-04-26,PFE,0.0,0.0,1.0,0,0.0
2018-04-27,PFE,0.0,0.0,1.0,0,0.0
2018-04-30,PFE,0.0,0.0,1.0,0,0.0
2018-05-01,PFE,0.01898210123181343,0.03883475065231323,0.9421831965446472,2,-0.0198526494204998
2018-05-02,PFE,0.01898210123181343,0.03883475065231323,0.9421831965446472,0,-0.0198526494204998
2018-05-03,PFE,0.0,0.0,1.0,0,0.0
2018-05-04,PFE,0.0,0.0,1.0,0,0.0
