date,ticker,event_type,drug_name,therapeutic_area,outcome,source,application_type,active_ingredient,sponsor_raw,px_1d_ret_pct,px_5d_ret_pct,days_to_event,as_of_date
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,85,2020-10-22
2020-11-06,BIIB,ADCOM,Aducanumab (Aduhelm),Neurology,NEGATIVE,manual,,,,0.0,-24.42,15,2020-10-22
2020-10-22,GILD,APPROVAL,Veklury (remdesivir) full approval,Infectious Disease,APPROVED,manual,,,,0.76,-2.79,0,2020-10-22
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,84,2020-10-23
2020-11-06,BIIB,ADCOM,Aducanumab (Aduhelm),Neurology,NEGATIVE,manual,,,,0.0,-24.42,14,2020-10-23
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,81,2020-10-26
2020-11-06,BIIB,ADCOM,Aducanumab (Aduhelm),Neurology,NEGATIVE,manual,,,,0.0,-24.42,11,2020-10-26
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,80,2020-10-27
2020-11-06,BIIB,ADCOM,Aducanumab (Aduhelm),Neurology,NEGATIVE,manual,,,,0.0,-24.42,10,2020-10-27
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,79,2020-10-28
2020-11-06,BIIB,ADCOM,Aducanumab (Aduhelm),Neurology,NEGATIVE,manual,,,,0.0,-24.42,9,2020-10-28
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,78,2020-10-29
2020-11-06,BIIB,ADCOM,Aducanumab (Aduhelm),Neurology,NEGATIVE,manual,,,,0.0,-24.42,8,2020-10-29
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,77,2020-10-30
2020-11-06,BIIB,ADCOM,Aducanumab (Aduhelm),Neurology,NEGATIVE,manual,,,,0.0,-24.42,7,2020-10-30
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,74,2020-11-02
2020-11-06,BIIB,ADCOM,Aducanumab (Aduhelm),Neurology,NEGATIVE,manual,,,,0.0,-24.42,4,2020-11-02
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,73,2020-11-03
2020-11-06,BIIB,ADCOM,Aducanumab (Aduhelm),Neurology,NEGATIVE,manual,,,,0.0,-24.42,3,2020-11-03
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,72,2020-11-04
2020-11-06,BIIB,ADCOM,Aducanumab (Aduhelm),Neurology,NEGATIVE,manual,,,,0.0,-24.42,2,2020-11-04
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,71,2020-11-05
2020-11-06,BIIB,ADCOM,Aducanumab (Aduhelm),Neurology,NEGATIVE,manual,,,,0.0,-24.42,1,2020-11-05
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,70,2020-11-06
2020-11-06,BIIB,ADCOM,Aducanumab (Aduhelm),Neurology,NEGATIVE,manual,,,,0.0,-24.42,0,2020-11-06
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,67,2020-11-09
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,66,2020-11-10
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,65,2020-11-11
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,64,2020-11-12
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,63,2020-11-13
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,60,2020-11-16
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,59,2020-11-17
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,58,2020-11-18
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,57,2020-11-19
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,56,2020-11-20
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,53,2020-11-23
2021-01-15,ABBV,APPROVAL,Skyrizi - PsA,Immunology,APPROVED,manual,,,,-0.99,-1.01,52,2020-11-24
