date,ticker,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,bb_upper,bb_middle,bb_lower,bb_pct,bb_width,log_return,volume_sma20,volume_ratio
2018-02-20,XPH,39.72856737454326,39.90317698181156,39.370156151046935,39.46205520629883,56700,44.718055167585995,-0.5611977085101998,-0.619755650871388,0.058557942361188164,43.89082661066695,40.33970069885254,36.78857478703813,0.37642715094474255,17.606109367665297,-0.013100477091289586,122300.0,0.46361406377759606
2018-02-21,XPH,39.57233595465599,40.206447812379146,39.35177332699522,39.41610336303711,62100,44.39022229853845,-0.5289169707615287,-0.6015879148494161,0.07267094408788743,43.5612104489723,40.171982765197754,36.78275508142321,0.38848795762832455,16.873589255398848,-0.00116445641316687,121015.0,0.5131595256786349
2018-02-22,XPH,39.54475781585844,39.710178886666874,39.149585647340906,39.20472717285156,58300,42.83460706669417,-0.5144601689417669,-0.5841623656678863,0.06970219672611933,43.25322849896744,40.009318351745605,36.76540820452377,0.37598436109842387,16.21577312916305,-0.00536268611431967,117805.0,0.49488561606043885
2018-02-23,XPH,39.425287784569115,39.76531841045943,39.278247229666,39.756126403808594,120300,47.95806394371841,-0.45328455742325247,-0.5579868040189595,0.10470224659570704,42.82702266226891,39.854925537109374,36.88282841194984,0.4833788854905816,14.914578738290112,0.014064610844655157,121005.0,0.9941737944713028
2018-02-26,XPH,39.875611398794746,40.454585312746495,39.655052244915204,40.30754470825195,108300,52.53911786825522,-0.3562015263073022,-0.517629748476628,0.16142822216932584,42.31566622593746,39.717535209655765,37.119404193374066,0.6135449857799276,13.083042553204885,0.01387002090803624,122320.0,0.8853826030085022
2018-02-27,XPH,39.91237395171051,40.2156436763163,39.177170901139995,39.18635940551758,77700,44.04875096345475,-0.3655193291974612,-0.4872076646207947,0.12168833542333346,41.66676623656731,39.52913951873779,37.391512800908274,0.4198222705673647,10.81544776261184,-0.027815767763816224,122440.0,0.6345965370793858
2018-02-28,XPH,39.27826316009371,39.397731249221394,38.203025817871094,38.203025817871094,56800,38.21572457954251,-0.4470967050724042,-0.4791854727111166,0.032088767638712434,41.28958592815002,39.34947509765625,37.40936426716249,0.2045402608537102,9.860923560880346,-0.025093772490333177,121550.0,0.4672974084738791
2018-03-01,XPH,38.22139590716287,38.49709654600561,37.62404160156709,37.92731475830078,52200,36.74641498337232,-0.5279095290418923,-0.4889302839772718,-0.03897924506462047,41.07079131345764,39.19508247375488,37.31937363405212,0.16205636807282964,9.571143731914528,-0.007216995347037014,117900.0,0.44274809160305345
2018-03-02,XPH,37.75270482412784,39.1771610331374,37.7343243142777,39.08525848388672,49300,46.116526333960174,-0.49283677735822806,-0.4897115826534631,-0.0031251947047649664,40.626010565535175,39.074692726135254,37.52337488673533,0.5034054136048458,7.940268911506072,0.030530601308454308,116615.0,0.42275865025940057
2018-03-05,XPH,38.71766855631784,39.351780530111526,38.66252701287829,39.18635940551758,53400,46.85674511737248,-0.45167672143769977,-0.4821046104103105,0.030427888972610728,40.387979338864575,39.00347061157227,37.61896188427996,0.5660482633081652,7.099412978298014,0.002586676551532552,111310.0,0.47974126313898124
2018-03-06,XPH,39.26906138180836,39.26906138180836,38.70846808278062,39.06687927246094,38000,46.051599375864726,-0.42381268001802397,-0.4704462243318532,0.04663354431382921,40.399493364021595,39.02276973724365,37.646046110465704,0.5160197494832427,7.056001591112017,-0.003049023559964059,100610.0,0.3776960540701719
2018-03-07,XPH,38.800377630408846,39.25068794785689,38.74523608908429,39.23230743408203,21600,47.399296691524476,-0.38395555569928774,-0.4531480906053401,0.06919253490605237,40.412635750677254,39.032878684997556,37.65312161931786,0.5722695154259756,7.069717182863139,0.004234486211897259,92120.0,0.23447676943117673
2018-03-08,XPH,39.32420457078174,39.70099628680558,39.305824059545934,39.673423767089844,20400,50.92013081161885,-0.3131641348027898,-0.4251512994448301,0.11198716464204028,40.46904026278504,39.061367988586426,37.65369571438781,0.7173999551322623,7.207490913323535,0.011243700966326653,89440.0,0.22808586762075134
