date,ticker,sentiment_pos,sentiment_neg,sentiment_neu,n_filings,net_sentiment
2018-04-26,ABBV,0.01715671271085739,0.04819270223379135,0.9346505403518677,1,-0.03103598952293396
2018-05-01,ABBV,0.021523216739296913,0.02926945686340332,0.9492073655128479,1,-0.007746240124106407
2018-05-08,ABBV,0.02093270607292652,0.0318894162774086,0.9471778869628906,1,-0.010956710204482079
2018-05-18,ABBV,0.018484830856323242,0.038855843245983124,0.9426593780517578,1,-0.02037101238965988
2018-09-06,ABBV,0.019052516669034958,0.03632498160004616,0.9446224570274353,1,-0.0172724649310112
2018-09-18,ABBV,0.01901990734040737,0.03520502895116806,0.9457750916481018,1,-0.01618512161076069
2018-10-19,ABBV,0.02073603868484497,0.030986597761511803,0.9482774138450623,1,-0.010250559076666832
2018-11-02,ABBV,0.01737758331000805,0.046427350491285324,0.9361950159072876,1,-0.029049767181277275
2018-12-17,ABBV,0.020342236384749413,0.03056439571082592,0.9490933418273926,1,-0.010222159326076508
2019-01-04,ABBV,0.021354633383452892,0.030997183173894882,0.9476481676101685,2,-0.00964254979044199
2019-01-25,ABBV,0.017248598858714104,0.047025300562381744,0.9357261657714844,1,-0.02977670170366764
2019-04-25,ABBV,0.017647039145231247,0.044573649764060974,0.9377793669700623,1,-0.026926610618829727
2019-05-06,ABBV,0.021563110873103142,0.029973307624459267,0.9484636187553406,1,-0.008410196751356125
2019-06-25,ABBV,0.02084406651556492,0.0294747706502676,0.9496811628341675,1,-0.008630704134702682
2019-07-16,ABBV,0.021926501765847206,0.03130332753062248,0.9467701315879822,1,-0.009376825764775276
2019-07-26,ABBV,0.01904158666729927,0.03787976875901222,0.9430787563323975,1,-0.01883818209171295
