date,ticker,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,bb_upper,bb_middle,bb_lower,bb_pct,bb_width,log_return,volume_sma20,volume_ratio
2018-02-20,BIIB,292.0,294.8800048828125,286.510009765625,287.45001220703125,2004500,25.130906032787223,-12.421759403157637,-7.580855046281158,-4.840904356876479,376.03810640577075,329.43199920654297,282.8258920073152,0.04960852211867072,28.294827042595394,-0.015143670072634952,1836300.0,1.0915972335675
2018-02-21,BIIB,287.55999755859375,290.6600036621094,285.1099853515625,286.1000061035156,1922400,24.679171872086826,-13.506959456510742,-8.766075928327076,-4.740883528183666,375.9060112614796,326.3994995117188,276.89298776195795,0.09298795265657303,30.33491890999874,-0.004696489984990171,1873110.0,1.0263145250412415
2018-02-22,BIIB,287.70001220703125,291.9100036621094,283.9700012207031,284.80999755859375,2484700,24.23095636151409,-14.30616861919981,-9.874094466501624,-4.432074152698185,375.064100369114,323.31499938964845,271.5658984101829,0.12796453366084762,32.0115683325284,-0.004508942738208566,1921715.0,1.292959674041156
2018-02-23,BIIB,287.5899963378906,294.239990234375,285.6000061035156,292.7799987792969,2541500,32.39970234215926,-14.13351281031953,-10.725978135265207,-3.4075346750543236,371.66884302776964,320.26699981689455,268.86515660601947,0.2326263094804521,32.09936911405979,0.02798357251859973,1955640.0,1.299574563825653
2018-02-26,BIIB,294.0,296.1000061035156,288.79998779296875,290.010009765625,1448300,31.14301126767569,-14.058143276699752,-11.392411163552115,-2.6657321131476372,364.4406106834143,316.3720001220703,268.30338956072626,0.22578788893010818,30.387398722261793,-0.009460991274065633,1916420.0,0.7557320420367143
2018-02-27,BIIB,290.8299865722656,294.0299987792969,289.4200134277344,290.1000061035156,1697400,31.23633197451248,-13.831707116263317,-11.880270354094357,-1.9514367621689601,358.19965377381163,312.9529998779297,267.70634598204776,0.24746205733796803,28.91594195520147,0.0003103214884319083,1935430.0,0.8770144102344182
2018-02-28,BIIB,291.260009765625,292.8999938964844,287.3900146484375,288.989990234375,1742400,30.683961500537308,-13.58522185059627,-12.22126065339474,-1.3639611972015295,352.28696139204436,309.7729995727539,267.2590377534635,0.25557430489871735,27.448461859443324,-0.0038263214263585255,1966160.0,0.8861944094071693
2018-03-01,BIIB,288.1099853515625,291.44000244140625,281.3599853515625,282.3500061035156,2339200,27.545974730949354,-13.766974614708033,-12.530403445657399,-1.2365711690506345,346.8190812862461,306.5,266.1809187137539,0.20051408506767524,26.309351573406918,-0.02297651944786827,2013220.0,1.1619197107121924
2018-03-02,BIIB,278.2200012207031,288.0,277.0,286.9599914550781,1511900,32.69256843802064,-13.38473678515868,-12.701270113557655,-0.6834666716010247,340.35945806687226,303.5479995727539,266.7365410786355,0.2746896102972101,24.254126889935545,0.016327201175523998,2020170.0,0.7484023621774405
2018-03-05,BIIB,284.1600036621094,288.1300048828125,282.5899963378906,286.95001220703125,904300,32.68715569443856,-12.93352615461339,-12.747721321768804,-0.18580483284458538,333.15860150246004,300.70400085449216,268.2494002065243,0.28810417671366245,21.585745820304105,-3.477574694743524e-05,2010635.0,0.44975840965665076
