date,ticker,sentiment_pos,sentiment_neg,sentiment_neu,n_filings,net_sentiment
2018-01-26,MRK,0.020371971651911736,0.03360762819647789,0.9460203051567078,1,-0.013235656544566154
2018-02-02,MRK,0.020015757530927658,0.03271519020199776,0.9472690224647522,1,-0.012699432671070099
2018-02-26,MRK,0.020306674763560295,0.0335937924683094,0.946099579334259,1,-0.013287117704749107
2018-05-01,MRK,0.01870766095817089,0.03429098427295685,0.9470013380050659,1,-0.015583323314785957
2018-05-24,MRK,0.01806684210896492,0.040147751569747925,0.9417853951454163,1,-0.022080909460783005
2018-07-27,MRK,0.018964223563671112,0.03239206224679947,0.9486436247825623,1,-0.013427838683128357
2018-09-27,MRK,0.018549935892224312,0.03459235653281212,0.9468576908111572,1,-0.016042420640587807
2018-10-04,MRK,0.02028350532054901,0.03518102318048477,0.9445354342460632,1,-0.01489751785993576
2018-10-25,MRK,0.01966690458357334,0.034227997064590454,0.9461051225662231,1,-0.014561092481017113
2018-12-10,MRK,0.01891469769179821,0.037382591515779495,0.943702757358551,1,-0.018467893823981285
2019-01-30,MRK,0.018951427191495895,0.03962836414575577,0.9414202570915222,1,-0.020676936954259872
2019-02-01,MRK,0.019533883780241013,0.03414720296859741,0.9463189244270325,1,-0.0146133191883564
2019-03-07,MRK,0.01934601552784443,0.03239072486758232,0.9482632875442505,1,-0.013044709339737892
2019-04-30,MRK,0.019278446212410927,0.0333215594291687,0.9473999738693237,1,-0.014043113216757774
2019-05-31,MRK,0.018090657889842987,0.039692472666502,0.9422169327735901,1,-0.021601814776659012
2019-07-30,MRK,0.01796606369316578,0.035385094583034515,0.946648895740509,1,-0.017419030889868736
