date,ticker,sentiment_pos,sentiment_neg,sentiment_neu,n_filings,net_sentiment
2018-01-05,BMY,0.02260892279446125,0.032077670097351074,0.9453133940696716,1,-0.009468747302889824
2018-01-25,BMY,0.021463608369231224,0.03202490136027336,0.946511447429657,1,-0.010561292991042137
2018-02-14,BMY,0.023342473432421684,0.03128392994403839,0.9453735947608948,1,-0.007941456511616707
2018-03-01,BMY,0.022649897262454033,0.031253814697265625,0.9460963606834412,1,-0.008603917434811592
2018-05-03,BMY,0.022467250004410744,0.032088503241539,0.9454443454742432,1,-0.009621253237128258
2018-07-23,BMY,0.020502969622612,0.03372487053275108,0.945772111415863,1,-0.013221900910139084
2018-08-28,BMY,0.021647246554493904,0.03523717075586319,0.9431156516075134,1,-0.013589924201369286
2018-09-14,BMY,0.023394323885440826,0.031551241874694824,0.9450544118881226,1,-0.008156917989253998
2018-12-19,BMY,0.023457065224647522,0.031053580343723297,0.9454892873764038,1,-0.007596515119075775
2019-01-03,BMY,0.021501772105693817,0.03198663890361786,0.9465115070343018,1,-0.010484866797924042
2019-01-04,BMY,0.020035292953252792,0.03825264051556587,0.9417120218276978,1,-0.01821734756231308
2019-01-22,BMY,0.022682014852762222,0.032333627343177795,0.9449843168258667,1,-0.009651612490415573
2019-01-24,BMY,0.021756863221526146,0.03472285345196724,0.9435203075408936,1,-0.012965990230441093
2019-01-30,BMY,0.022685466334223747,0.0332728810608387,0.9440415501594543,1,-0.010587414726614952
2019-03-08,BMY,0.022476857528090477,0.03290727734565735,0.9446158707141876,2,-0.010430419817566872
2019-03-26,BMY,0.021212145686149597,0.03472170606255531,0.9440661072731018,1,-0.013509560376405716
2019-04-04,BMY,0.021512586623430252,0.03405348211526871,0.9444339871406555,1,-0.012540895491838455
2019-04-12,BMY,0.023797718808054924,0.030788837000727654,0.9454134106636047,1,-0.0069911181926727295
2019-04-17,BMY,0.022886941209435463,0.03204422444105148,0.9450687766075134,1,-0.00915728323161602
2019-04-25,BMY,0.016333937644958496,0.04270382225513458,0.9409622550010681,1,-0.026369884610176086
2019-05-01,BMY,0.022052256390452385,0.03263132832944393,0.9453164935112,2,-0.010579071938991547
2019-05-02,BMY,0.019456960260868073,0.0382842980325222,0.9422587156295776,1,-0.01882733777165413
2019-05-08,BMY,0.022153690457344055,0.03269019350409508,0.9451561570167542,1,-0.010536503046751022
2019-05-16,BMY,0.021941497921943665,0.03347861021757126,0.9445798993110657,1,-0.011537112295627594
2019-05-24,BMY,0.02247118204832077,0.03270631283521652,0.9448225498199463,1,-0.010235130786895752
2019-05-30,BMY,0.021803412586450577,0.03443628177046776,0.9437602162361145,1,-0.012632869184017181
2019-06-05,BMY,0.020358063280582428,0.03184165805578232,0.9478002786636353,1,-0.01148359477519989
2019-06-24,BMY,0.02398408018052578,0.03037117049098015,0.9456446766853333,1,-0.006387090310454369
2019-06-28,BMY,0.021622996777296066,0.03292513266205788,0.9454519152641296,1,-0.01130213588476181
2019-07-01,BMY,0.022514892742037773,0.0315779484808445,0.9459072351455688,1,-0.009063055738806725
2019-07-25,BMY,0.01659412309527397,0.04261753708124161,0.9407883286476135,1,-0.026023413985967636
