date,PPO_PriceOnly,BuyHold_Equal,EqualWeight_Monthly,Momentum_20D,XPH,PPO_PriceSentiment,PPO_Phase5_BasicFDA,PPO_Phase5_RichFDA,PPO_Phase5_RichFDA_CT,PPO_Phase6_SEC
2022-01-04,999729.1425100096,994242.5571683424,994242.5571683424,1000000.0,985410.8542378774,999900.135307068,999900.0055153656,999729.2807385826,999590.846155014,999729.3033539276
2022-01-05,999015.005637802,998457.3195675104,998457.3195675104,1000000.0,966745.4911943112,999542.4011176452,999300.2909957124,998679.590325985,995548.89350782,998743.713074234
2022-01-06,1003704.9311941986,993318.669751612,993318.6697516117,1000000.0,963312.4862137876,1000724.323729187,999140.6025011826,997140.599138195,1001202.2475134734,1002202.9486503142
2022-01-07,1000487.7341601868,999963.5757056482,999963.575705648,1000000.0,963956.2179324472,999720.7042284546,996857.9409322396,993378.2776350935,996655.3815766677,999506.3861830062
2022-01-10,1008579.789802803,1014385.0752632698,1014385.0752632696,1000000.0,979618.0478965486,1004300.2380256652,995220.602642788,993861.9885319938,1006715.8329867552,999665.5964228438
2022-01-11,1017276.3478507232,1018978.7989299236,1018978.7989299236,1000000.0,984981.728615312,1002195.1915093994,999878.4038076744,1010297.7694249038,1016625.3798889389,1013004.2396237104
2022-01-12,1013789.4044750214,1007180.0877936344,1007180.0877936344,1000000.0,965243.5948001436,997137.8121392822,1001645.6097300644,1019823.8590933838,1016608.2736103056,1017907.2610947724
2022-01-13,1009172.1439634096,1006188.0223466216,1006188.0223466216,1000000.0,945290.854888881,992667.2008151246,1000729.5340393868,997941.9728678892,1012702.5142207564,998739.7027981414
2022-01-14,1003690.7857827606,1010821.465330872,1010821.465330872,1000000.0,947007.0976702728,989214.1123505248,997765.1930165596,1008101.9095445098,1005521.8127032088,1006819.3555384064
2022-01-18,1000335.8510297852,1003493.8333613914,1003493.8333613916,1000000.0,927483.4833815756,985895.22495459,996792.303897602,1012532.4158204804,1005284.1124475326,1015618.649078247
2022-01-19,992706.5635425948,994366.6778592396,994366.6778592396,1000000.0,926625.0589971982,983051.7811273804,984652.92460561,999864.0226659316,997017.8683699874,1011953.8703615112
2022-01-20,984623.283918026,985324.0969202882,985324.0969202882,1000000.0,917614.2000499332,980938.6513105164,971664.1976027032,989204.9935726968,988278.0121147728,1003438.6148511962
2022-01-21,977316.9023288764,975711.5655137732,975711.5655137732,1000000.0,904097.911629036,975335.099830658,959059.7233116722,976768.5395413552,982646.4642633932,989738.47385466
2022-01-24,972848.5355110664,969305.6302838528,969305.6302838528,1000000.0,907959.6093840088,973651.8565171204,966312.4546551934,967283.7312785416,975474.033051174,977036.3933670424
2022-01-25,962053.8027030372,975167.0141646016,975167.0141646016,1000000.0,907316.223943842,965047.4932061768,966935.5698470536,967226.367260006,963613.2022672804,977253.9646022796
2022-01-26,976453.1292158624,971495.7239985276,971495.7239985272,1000000.0,900236.1273044401,986726.0721870422,969912.024745392,964643.4869737014,975269.4290016174,979532.5925974196
2022-01-27,972722.7935756876,982407.9764674624,982407.9764674624,1000000.0,891439.6147443997,990291.9800285338,952794.9477467692,953129.037414444,972085.0250588264,977488.9432485196
2022-01-28,983771.8285285836,998678.27171267,998678.2717126698,1000000.0,910748.6229370026,1001080.3199810792,951961.1259191628,961551.4964310988,982874.1041826704,987689.223573616
2022-01-31,995342.4181635398,994329.8254514876,994329.8254514876,1000000.0,934777.8398385788,1007049.2029170836,970900.6176892434,982824.2570077208,996966.3029435156,1001759.6856052246
2022-02-01,993106.306530735,997789.6115771256,997747.5606713413,1000000.0,944432.5170741268,1009572.3243138122,968702.2457506828,982855.9445028724,990087.9010417364,1002918.4824143676
2022-02-02,992461.8153826676,995101.7336893688,994760.6481348984,1001311.390458244,943359.5731632784,1002297.3874754332,966100.1566980056,987843.5696390228,991769.7697416916,1009436.6908599472
2022-02-03,989146.8880693588,983739.7199938904,983527.5123109182,990422.171739816,922119.7160931892,1012155.7419341888,932933.5757688524,967857.9902333374,992075.3101126328,1008385.3304655228
2022-02-04,975508.8764227486,980205.7631761334,979784.7822512566,992153.83675115,931345.1811365484,1012093.0979366302,927472.4287696456,955610.5009798888,977499.0947538986,993558.8559216614
2022-02-07,965566.4662256392,983286.4666658664,982771.8989605752,1007272.4540723374,938854.3168288922,1006048.67241539,908349.6223179322,955880.1238102491,968398.2432371748,992933.966274704
2022-02-08,961115.0998163376,989563.8505030562,988866.6397745236,1008452.648942905,935206.9654611442,1002966.8314553528,906526.1450138324,962063.855317379,966854.0717970504,992687.3025176926
2022-02-09,955079.8193455545,990283.5349042268,989579.2830745446,1008103.0903502564,956017.8700479146,1005407.6046615144,905733.581204464,961359.401825161,972848.0877730026,993311.4553887632
2022-02-10,951914.1754704324,974328.9530747238,973276.0368140276,991942.168540174,950654.5356076444,1005291.1441588898,901502.1004488984,972778.1599698716,967139.066410698,996243.5583843078
2022-02-11,940267.1910611,971064.1976646604,969851.845606608,991606.871757876,942930.534110336,993861.0850823212,880340.2629668657,953308.0476674194,950667.5970501328,986772.0602564391
2022-02-14,938942.4206829872,964851.3421786764,963418.4736948976,994544.376893482,932203.345812056,984359.266563568,884086.7926978989,950037.5817199288,949583.0560726548,978655.0928505784
2022-02-15,928401.4178982582,973711.2114016009,972108.3287825672,1007810.1046693216,954730.8394587112,972571.1058057556,871137.8488154146,944607.4188781318,938491.5160717393,979718.3738162688
2022-02-16,937050.5769825784,971949.1419075694,970364.675467604,1008669.626179538,955803.2639518202,982164.8040959014,874116.9321949311,955349.900804096,944319.8871120834,994407.1640275954
2022-02-17,936437.8354740944,963187.9471841854,961458.8154360326,1003499.74245179,935421.7446964852,981597.135444931,881881.8932379915,953475.8824935491,942469.6626934432,990873.223597908
2022-02-18,927179.9557324256,959198.7093915346,957376.5621083406,998539.447512542,929414.1591198156,975818.9724594572,873527.0164192391,944515.4782310064,933457.1354565048,979699.2373537064
2022-02-22,922111.6408825722,956133.139017206,954193.3304236385,1002435.2444214144,914825.0999273162,965694.3299585112,870224.6568046572,943352.4043937264,928340.1395916366,976418.3569597244
2022-02-23,913506.985704502,956678.2988289696,954595.8376955928,1010134.2507791982,900450.5602612878,952955.530142456,869256.272644291,942460.800351673,920444.3133053208,978246.9125169752
2022-02-24,912701.1805325357,940238.4235685066,938163.0471740734,998835.2731994817,913966.9352518084,953413.3652194976,874375.5099825021,946112.1859717902,917938.7988399888,979788.5492678604
2022-02-25,893580.1081921806,969306.6817605206,967004.0275930538,1026167.7308690192,940141.6936965887,935642.6010338288,864100.2932563096,930380.07407909,901032.868757324,957740.5573779067
2022-02-28,924718.0203015556,965343.7139556668,963016.2703433228,1019963.9545276588,928985.29320612,981097.4049970245,871196.9442748338,948105.097718769,933282.0552464292,986808.3744021376
2022-03-01,918335.9790570488,960442.9734426496,957906.0032726384,1018710.7635039265,926196.279653126,972807.537089981,861149.3087078172,948510.8986983832,926695.635164337,988163.5720644912
2022-03-02,912605.858123516,971274.768951271,969217.4217995612,1028532.1407547313,946577.7989084608,969496.1769863738,859190.179657036,946796.2908225592,918912.4174328612,986004.2264071426
2022-03-03,926411.1850354424,980270.0995832608,978272.092069919,1037826.5286538304,934777.8398385788,981359.8628240814,872918.5239463731,949464.141858631,935652.2003346252,989039.2300234756
2022-03-04,934591.4907300224,984078.8014276152,982200.999146016,1039824.427195704,931559.614093396,995572.0098710632,879513.013716118,957442.4761405524,944871.1476155088,997643.815640541
2022-03-07,941681.5069958916,978362.9629021056,975857.020081617,1036478.48353906,918043.1525332524,1001404.0874422302,881620.049123459,957411.2837386664,951981.6122723388,999006.964291664
2022-03-08,938818.4178387872,964107.3359354225,961700.4374282684,1021181.037294371,913108.857145924,1017347.2408779602,859100.5221597902,941972.6992736396,949948.9904652404,991238.7099886856
2022-03-09,925621.6890561332,970629.3616308012,968230.8162206928,1027580.3079499392,940570.7327495308,996941.7049874268,848953.1116250802,927861.6635445404,936905.3094883726,977204.3095370254
2022-03-10,931590.1587979546,966684.4220449984,963947.7174284316,1029551.2647274594,941857.9364779808,1000686.1863378906,841333.971791073,928004.9952133942,944585.6618557738,985657.8889437636
2022-03-11,929978.8655163994,970949.8454280356,968415.0096351892,1033185.5020280492,937137.900908254,1002442.4483510588,826080.3384129602,920237.8245667268,941162.349088745,982439.3232546768
2022-03-14,934024.7984311332,980740.0913996086,978490.2759035382,1042991.8159851062,905170.5092613916,1000624.4786054228,827210.7049671822,922074.7655457306,947987.9701252744,982705.7045870742
2022-03-15,947726.3903653374,993331.6696199352,990585.0227605824,1062495.1458298997,917399.5939538388,1014350.6430340728,839819.571123642,923549.6487854768,962348.2173481748,986375.540402504
2022-03-16,959442.3903043022,995592.2788541466,993438.6876502236,1063730.6934187135,940785.1657063788,1040470.373094925,842256.7157891084,931822.5937432098,972421.012785034,1004256.6109438858
2022-03-17,955358.3615414848,1010919.469242936,1008983.4728148156,1082978.6131459333,967388.9632041012,1030955.245341568,837233.8735671616,937637.523831253,971314.542749481,1010198.8246890028
2022-03-18,970548.0719907036,1014213.6722311054,1012395.2079238396,1082162.1241350642,978116.3246416276,1044351.9433152924,854894.1095497361,950377.4594048308,988175.3893948364,1022256.7205325088
2022-03-21,969128.8504941216,1014556.57053794,1012461.1974603224,1081356.1592706677,968875.3636357026,1032829.406687088,858054.3079282761,958403.3289078522,988042.270280914,1028604.8956576308
2022-03-22,970704.8654629936,1014024.6855648631,1011854.8120031088,1071200.5659023707,979430.1052444224,1038651.50345549,861503.4392425157,957521.3206108856,988423.8892651366,1028283.7817202528
2022-03-23,967968.1208493462,1008104.408461554,1005285.113251804,1060583.476554266,971460.3325866414,1033768.1252158356,866104.3198247949,962749.269635086,983879.2505131528,1034425.375836464
2022-03-24,961931.6524731864,1018340.463896056,1015313.7537113088,1069268.7434101684,979860.9622594536,1029883.756589676,849848.7156455423,959176.1111267852,976104.1190624998,1030925.3514681776
2022-03-25,968185.3488156548,1023894.9897190531,1020275.1754482072,1077377.1247092912,978999.5079382611,1035181.5452657318,854021.6260775377,970848.1198166657,983539.5421315,1042958.5902529678
2022-03-28,974333.8111188164,1027480.0106091164,1024105.5047154448,1080908.9367249743,974260.5136210376,1045073.8891011504,850710.6999588205,972405.670327072,989939.6137142944,1047439.105282875
2022-03-29,977881.8594281424,1031868.3307971782,1028722.789710996,1076823.577667505,990846.560883204,1050433.8833439332,854598.107171955,973539.8587540436,994874.9014607236,1049284.3213015518
2022-03-30,982291.2078549614,1033430.8776426896,1029294.9363934632,1081992.5459104143,981153.187026053,1049903.322491104,874041.4629485055,984619.7535790252,997288.2608166502,1055571.2477389297
2022-03-31,984743.6638409843,1026795.2825293372,1022605.0607504948,1071525.5536133114,975122.2276510994,1060803.1999934388,861508.109657795,978598.4074677275,999386.764436798,1058528.723630043
2022-04-01,976549.803664898,1032751.9091256564,1028087.5677867983,1077800.526841944,990200.3186454691,1046895.8104016418,858482.0997093965,976186.4567612456,991473.9085331724,1052279.892972084
2022-04-04,983842.0117184868,1032466.5565937696,1028237.3945543616,1075063.566334007,993431.2701252731,1052553.757479431,861652.405923336,981999.962906723,997194.5721760556,1060732.6639224014
2022-04-05,982374.8149106256,1033256.539199632,1027887.918017978,1082567.7224046362,982445.844640769,1042414.806094864,876066.1110113717,987724.4151238252,995843.3903103636,1059866.6370821914
2022-04-06,982866.731536602,1055226.2853432216,1049542.4779059235,1104467.410937427,992139.0453586732,1049135.7671320648,862802.8211277581,982250.8076981354,996867.7255802916,1059763.4466067275
2022-04-07,1004181.8582684746,1073227.817366882,1066967.9167976277,1131303.5032381655,1000324.0300999116,1076377.0877487182,878230.1974841806,995298.5034874724,1019777.7886486816,1081848.8068667373
2022-04-08,1016982.0687405816,1081660.1065513042,1075741.034897098,1141272.1672653006,993000.326540619,1073605.1818093872,880681.409292721,1009964.3499764252,1035474.2826023864,1103735.149334999
2022-04-11,1025496.6967999688,1064647.8020764308,1059117.136450418,1119349.564852596,969091.0085672762,1075728.3468484497,899573.4424467355,1022995.4952553558,1041538.9904919432,1115926.2090426406
2022-04-12,1012604.9957349052,1056754.7025042246,1051114.1881305657,1109749.9353847096,963059.6163442064,1062280.4220437622,893659.9889009935,1008365.0126885223,1028700.6175671384,1093136.4103671035
2022-04-13,1005869.7713620416,1057940.9956106422,1053798.8201673063,1117844.234025676,978353.1791309032,1062634.282883606,889909.7275742837,1004273.716927414,1021422.5106449889,1078982.201352211
2022-04-14,1010561.9984128228,1062314.677914522,1057172.00069175,1125070.5670951407,973829.74317563,1067116.9244851684,896112.435479416,1015538.328972702,1027387.8180104065,1071383.2623568496
2022-04-18,1011207.1504666556,1050527.1701310922,1045773.2856884928,1114683.0553038423,942811.9337264516,1062634.282883606,892650.1378552362,1016468.691536789,1028365.6779270932,1081687.2440005264
2022-04-19,999639.2404935112,1055062.0920565764,1051846.5319204994,1113903.7114364957,950781.792953856,1049422.5685281372,889187.6959497568,1010790.6779869844,1015591.6033001709,1070333.090527626
2022-04-20,1008098.9828259696,1059156.8555644166,1055449.2285013313,1116023.6931513918,948412.2957952442,1081390.7267312622,906500.6241781922,1027305.133911972,1018638.2622662352,1074507.451352211
2022-04-21,1013701.6644131888,1058521.3398513703,1054182.5921135885,1115754.229613869,927087.6870639704,1086168.1007546997,918332.1406699792,1033188.7740486908,1023033.842195587,1075347.8150759658
2022-04-22,1010638.3295361748,1035517.3189682672,1030878.8052368376,1090157.0828370545,907486.1601143272,1083042.1783914184,920496.4761769754,1033046.8766487885,1019409.1715870664,1076271.9661379775
2022-04-25,993314.1866681328,1047900.6112740288,1043619.1840965416,1096572.982254607,913732.7644208544,1072307.3888406372,898851.0877107813,1004783.8280724336,1001138.857431488,1049247.8831912002
