date,portfolio_value,daily_return,reward,drawdown,sharpe,cvar_penalty
2022-01-04,999729.3033539277,-0.00027069664607231973,-0.00029776631067955173,0.00027069664607231973,0.0,0.0
2022-01-05,998743.713074234,-0.00019761454780808363,-3.59681283407572,0.001256286925766035,-71.9297918167067,0.0
2022-01-06,1002202.9486503142,-0.00014336608120210322,1.063604662349164,0.0,-50.65483124809938,0.0
2022-01-07,999506.3861830062,-0.00010493141973083496,0.5547674318393157,0.002690635136266091,-39.552002712645915,0.0
2022-01-10,999665.5964228438,-7.639102973996413e-05,0.35069770798147737,0.0025317748574653354,-32.53145718270664,0.0
2022-01-11,1013004.2396237105,-5.479548068997654e-05,0.24471365192961794,0.0,-27.63608823450048,0.0
2022-01-12,1017907.2610947723,-3.988820072246191e-05,0.1751677157060608,0.0,-24.131936156364816,0.0
2022-01-13,998739.7027981414,-2.966578925277091e-05,0.1278902319870836,0.018830358156612326,-21.535877484524864,0.0
2022-01-14,1006819.3555384063,-2.1392944710588872e-05,0.1012224148977547,0.010892844545033286,-19.48921563858549,0.0
2022-01-18,1015618.649078247,-1.53313297635823e-05,0.08224117293999812,0.002248350222066207,-17.839588852746125,0.0
2022-01-19,1011953.8703615111,-1.1216394255496074e-05,0.06657727614700114,0.005848657299937304,-16.496121687321118,0.0
2022-01-20,1003438.6148511962,-8.453923135418144e-06,0.05394937324130047,0.01421411045640333,-15.388536923119593,0.0
2022-01-21,989738.4738546599,-6.208635747605125e-06,0.04400593050097955,0.027673235388670305,-14.45294766960771,0.0
2022-01-24,977036.3933670425,-4.596402076601007e-06,0.03596165731830911,0.04015185792443664,-13.653318879351122,0.0
2022-01-25,977253.9646022796,-3.246074283201863e-06,0.0307508726908266,0.039938114252932554,-12.958360275543061,0.0
2022-01-26,979532.5925974196,-2.428525379976593e-06,0.026509830927592404,0.037699572411027095,-12.35271594166156,0.0
2022-01-27,977488.9432485197,-1.753383987042242e-06,0.0227368863768841,0.03970726940564523,-11.818528607632846,0.0
2022-01-28,987689.223573616,-1.4205410002981262e-06,0.020625908819400254,0.029686434782532512,-11.34660915085977,0.0
2022-01-31,1001759.6856052246,-9.362224000499049e-07,0.019630560372007288,0.015863503588903337,-10.922252211793817,0.0
2022-02-01,1002918.4824143676,-7.465209282200387e-07,0.017551668438430337,0.014725092602526507,-10.541285416207712,0.0002341555969402017
2022-02-02,1009436.6908599471,-3.3099520258317197e-07,0.016561498960096777,0.00832155399472731,-10.192997924262215,0.0002038924250275022
