date,close,high,low,open,volume,ticker
2022-01-03,44.06507873535156,44.15016484901915,43.25203445061977,43.75309511643255,34900,XPH
2022-01-04,43.42220687866211,44.05562292279372,43.01568473441717,44.05562292279372,152000,XPH
2022-01-05,42.59971618652344,43.819279184792066,42.55244331150294,43.46002985825168,101400,XPH
2022-01-06,42.44844055175781,42.67533442050074,41.5975795279393,42.53352665413966,114400,XPH
2022-01-07,42.476806640625,42.750973405165176,42.42953737932133,42.48625905032035,121000,XPH
2022-01-10,43.16694641113281,43.23312409587592,42.33499373754507,42.47680512280223,186000,XPH
2022-01-11,43.403297424316406,43.47893112676244,42.90223676805845,43.22367279062723,141300,XPH
2022-01-12,42.53353500366211,43.41275342565171,42.34445433831695,43.40330101527062,56400,XPH
2022-01-13,41.65431594848633,42.6848018614377,41.59759066290969,42.524082022177545,55800,XPH
2022-01-14,41.729942321777344,41.739398338400896,40.99253170734157,41.32342016089258,62200,XPH
2022-01-18,40.869632720947266,41.39905790466185,40.85072429227024,41.39905790466185,98600,XPH
2022-01-19,40.83180618286133,41.50304261930446,40.78453692558275,41.27614513538888,69100,XPH
2022-01-20,40.43474197387695,41.550313808298526,40.415833548803825,41.191060944735646,27800,XPH
2022-01-21,39.83914566040039,40.5481954866479,39.72569869799669,40.34020638356285,88500,XPH
2022-01-24,40.00931167602539,40.01876769182777,38.05233474888168,39.2435366846335,80700,XPH
2022-01-25,39.980960845947266,40.34966621340808,39.1584603731655,39.35699708414876,80000,XPH
2022-01-26,39.668975830078125,40.66164492601166,39.489351161462345,40.2645787302039,49900,XPH
2022-01-27,39.28135681152344,40.34020346566848,39.234087547808805,39.92422889600063,34500,XPH
2022-01-28,40.13220977783203,40.16057060897887,39.0071820568351,39.12063259424829,154000,XPH
2022-01-31,41.19105911254883,41.200515127871455,39.98094881300088,39.98094881300088,29500,XPH
2022-02-01,41.616493225097656,41.77720943528897,41.15324580755694,41.32341803388508,47700,XPH
2022-02-02,41.5692138671875,41.63539153841794,41.09651415473429,41.58812228845514,28700,XPH
2022-02-03,40.633277893066406,41.247789128833176,40.57655261384662,41.058708471180815,38400,XPH
2022-02-04,41.039798736572266,41.25724022369646,40.43474353650258,40.57655132041133,24600,XPH
2022-02-07,41.37068939208984,41.55031764365878,41.02089251198171,41.02089251198171,32900,XPH
2022-02-08,41.20996856689453,41.25723782544973,40.60491340199616,41.22887699159926,27500,XPH
2022-02-09,42.12700271606445,42.221541222821024,41.55030844817594,41.55030844817594,46100,XPH
2022-02-10,41.89066696166992,42.82661075581596,41.61650015069217,41.61650015069217,51800,XPH
2022-02-11,41.55030822753906,42.37280477247482,41.313958355489824,42.02300797163754,70400,XPH
2022-02-14,41.077613830566406,41.59758289547721,40.88853318703158,41.361232992662,106200,XPH
2022-02-15,42.070289611816406,42.09865045076069,41.32342293069651,41.32342293069651,24800,XPH
2022-02-16,42.11754608154297,42.25935744600313,41.78665770635301,41.78665770635301,88500,XPH
2022-02-17,41.21943283081055,41.72049721355964,41.18161957693919,41.72049721355964,103600,XPH
2022-02-18,40.954708099365234,41.47467712908292,40.73726663626195,41.11542789773649,63700,XPH
2022-02-22,40.31184005737305,40.89798682415626,40.26457079667355,40.71836219093283,47900,XPH
2022-02-23,39.67842483520508,40.65218532974908,39.62169955736634,40.5009215285926,42100,XPH
2022-02-24,40.274024963378906,40.311841816153795,38.553397832670896,38.553397832670896,32500,XPH
2022-02-25,41.42741775512695,41.46523461157788,40.39693185852973,40.47256557143159,59400,XPH
2022-02-28,40.93581008911133,41.16270762499802,40.63328244553839,40.93581008911133,17800,XPH
2022-03-01,40.81291198730469,41.285611937714506,40.58601803070005,40.88854571044918,35800,XPH
2022-03-02,41.71102523803711,41.88119743780604,40.94525394548987,40.94525394548987,65200,XPH
2022-03-03,41.19105911254883,41.54085594480944,40.90743996189392,41.54085594480944,27800,XPH
2022-03-04,41.04924774169922,41.17215069602418,40.67109007622628,41.08706459017046,24500,XPH
2022-03-07,40.453643798828125,40.983065188846005,40.40637454706406,40.90743510730606,106000,XPH
2022-03-08,40.23621368408203,41.11543571880681,39.84859994022376,40.40638592347481,111200,XPH
2022-03-09,41.44632339477539,41.61649563094116,40.71836518593596,40.87908501183194,63700,XPH
2022-03-10,41.50304412841797,41.56922181229693,40.99252747585462,40.99252747585462,29400,XPH
2022-03-11,41.2950553894043,41.928471399113384,41.25723853934047,41.83393288036714,59400,XPH
2022-03-14,39.88640975952149,41.096523758553,39.68787669943511,41.03979848149398,28500,XPH
2022-03-15,40.42528533935547,40.42528533935547,39.73514406360987,39.9998584041685,66100,XPH
2022-03-16,41.455772399902344,41.465228415809115,40.51037276837514,40.8034479524574,84200,XPH
2022-03-17,42.62807083129883,42.66588768325372,41.455773665591714,41.455773665591714,55000,XPH
2022-03-18,43.100772857666016,43.13858971154784,42.37281464930248,42.37281464930248,49600,XPH
2022-03-21,42.69356918334961,43.19662698195529,42.52271868178769,42.94035485040038,46200,XPH
2022-03-22,43.15866470336914,43.215612458919,42.77899610269219,42.87391144246737,18500,XPH
2022-03-23,42.80747604370117,43.52884576300429,42.80747604370117,42.94985269431823,97100,XPH
2022-03-24,43.17765045166016,43.1966306238446,42.78849174768996,43.025783728666624,36800,XPH
2022-03-25,43.13969039916992,43.36748871304634,42.95934614482976,43.32952474125955,68500,XPH
2022-03-28,42.93086624145508,43.348498838864856,42.31390924215348,43.25358349152258,340700,XPH
2022-03-29,43.6617317199707,43.9464814200736,43.177657591874656,43.177657591874656,315600,XPH
2022-03-30,43.23459243774414,44.136302569230054,43.01628427888549,43.77561779247813,38400,XPH
2022-03-31,42.96883773803711,43.386470373443345,42.96883773803711,43.23460363140574,77700,XPH
2022-04-01,43.63325500488281,43.63325500488281,43.03527813891657,43.19663496421536,46600,XPH
2022-04-04,43.77562713623047,43.84206860655228,43.35799451980927,43.75664334174016,357300,XPH
2022-04-05,43.29155349731445,44.22173771223066,43.20612823161865,43.7661375021159,105300,XPH
2022-04-06,43.71868515014648,43.823090602455565,42.8834161861505,42.92138378014783,59900,XPH
2022-04-07,44.0793571472168,44.24071757732686,43.5288416333556,43.680708356571266,69400,XPH
